time-step,cId,c.cpu(%used),c.storage(%used),c.ram(%used),c.currUsersAllocated,num allocated users
1,c0,0.3372098214285714,0.4660915798611111,0.5932167454769737,"['v62', 'v20', 'v27', 'v21', 'v95']",5
1,c10,0.3388616071428571,0.5059271918402778,0.4594790810032895,"['v22', 'v17', 'v3', 'v18', 'v2', 'v10', 'v23']",7
1,c45,0.6103303571428571,0.9726698133680556,0.7380467465049342,"['v8', 'v7', 'v24', 'v1', 'v9', 'v43', 'v16', 'v4', 'v12', 'v13', 'v25', 'v0']",12
1,c50,0.40967857142857145,0.6164822048611112,0.6705482884457237,"['v11', 'v76', 'v5', 'v19', 'v15', 'v35', 'v6', 'v14']",8
61,c5,0.6225803571428571,0.8374091254340278,0.9871826171875,"['v11', 'v33', 'v76', 'v5', 'v19', 'v30', 'v46', 'v83', 'v35', 'v6']",10
61,c9,0.5889241071428571,0.8398234049479166,0.827990080180921,"['v22', 'v54', 'v17', 'v3', 'v18', 'v2', 'v98', 'v78', 'v10', 'v23']",10
61,c21,0.8409241071428571,0.9513888888888888,0.9872982627467105,"['v8', 'v73', 'v89', 'v7', 'v24', 'v90', 'v1', 'v9', 'v43', 'v13', 'v25']",11
61,c25,0.07167410714285714,0.11164686414930555,0.21144184313322367,['v92'],1
61,c30,0.14325,0.3772515190972222,0.18308619449013158,"['v26', 'v15', 'v72', 'v14', 'v69']",5
61,c34,0.16239732142857144,0.46563720703125,0.22464149876644737,"['v85', 'v16', 'v4', 'v12', 'v0']",5
61,c48,0.62259375,0.6870388454861112,0.8034282483552632,"['v40', 'v62', 'v44', 'v20', 'v27', 'v21', 'v95']",7
121,c3,0.1971294642857143,0.4634535047743056,0.38111315275493424,"['v99', 'v51', 'v74', 'v88', 'v75']",5
121,c10,0.14217410714285714,0.2649468315972222,0.28918135793585525,"['v57', 'v42', 'v48', 'v59']",4
121,c21,0.8409241071428571,0.9513888888888888,0.9872982627467105,"['v8', 'v73', 'v89', 'v7', 'v24', 'v90', 'v1', 'v9', 'v43', 'v13', 'v25']",11
121,c26,0.6403214285714286,0.8585883246527778,0.9999164782072368,"['v11', 'v33', 'v76', 'v67', 'v5', 'v19', 'v46', 'v83', 'v35', 'v6', 'v69']",11
121,c34,0.16239732142857144,0.46563720703125,0.22464149876644737,"['v85', 'v16', 'v4', 'v12', 'v0']",5
121,c37,0.9995848214285714,0.9992336697048612,0.9469251130756579,"['v40', 'v84', 'v93', 'v62', 'v44', 'v28', 'v20', 'v82', 'v27']",9
121,c40,0.23125,0.2441948784722222,0.32928466796875,"['v64', 'v68', 'v56']",3
121,c46,0.5889241071428571,0.8398234049479166,0.827990080180921,"['v22', 'v54', 'v17', 'v3', 'v18', 'v2', 'v98', 'v78', 'v10', 'v23']",10
181,c1,0.37550446428571427,0.9118245442708334,0.7507388466282895,"['v30', 'v49', 'v32', 'v81', 'v26', 'v15', 'v72', 'v92', 'v14']",9
181,c3,0.8409241071428571,0.9513888888888888,0.9872982627467105,"['v8', 'v73', 'v89', 'v7', 'v24', 'v90', 'v1', 'v9', 'v43', 'v13', 'v25']",11
181,c5,0.14315178571428572,0.11229790581597222,0.10554263466282894,['v96'],1
181,c10,0.4982857142857143,0.5981106228298612,0.7092028166118421,"['v34', 'v91', 'v53', 'v57', 'v42', 'v48', 'v59']",7
181,c12,0.9997991071428571,0.7782660590277778,0.7372404399671053,"['v52', 'v40', 'v84', 'v93', 'v62', 'v44', 'v31']",7
181,c17,0.6254910714285714,0.8808661566840278,0.8545981959292763,"['v22', 'v54', 'v17', 'v3', 'v18', 'v2', 'v98', 'v78', 'v70', 'v10', 'v79', 'v23']",12
181,c18,0.6403214285714286,0.8585883246527778,0.9999164782072368,"['v11', 'v33', 'v76', 'v67', 'v5', 'v19', 'v46', 'v83', 'v35', 'v6', 'v69']",11
181,c30,0.32229017857142855,0.3759290907118056,0.5526123046875,"['v45', 'v36', 'v80', 'v71', 'v37']",5
181,c39,0.6602410714285715,0.9925401475694444,0.9079075863486842,"['v28', 'v64', 'v97', 'v58', 'v20', 'v82', 'v27', 'v68', 'v87', 'v21', 'v41', 'v60', 'v77']",13
181,c50,0.2685669642857143,0.5742390950520834,0.5919221576891447,"['v47', 'v99', 'v51', 'v74', 'v88', 'v75']",6
241,c5,0.9999107142857143,0.9305826822916666,0.9230410927220395,"['v8', 'v45', 'v73', 'v89', 'v96', 'v7', 'v24', 'v47', 'v51', 'v71']",10
241,c25,0.4140446428571429,0.9510158962673612,0.7769389905427632,"['v90', 'v1', 'v9', 'v43', 'v85', 'v16', 'v4', 'v12', 'v13', 'v25', 'v0']",11
241,c26,0.8547723214285714,0.9724527994791666,0.9983327765213815,"['v22', 'v34', 'v91', 'v54', 'v17', 'v3', 'v53', 'v18', 'v2', 'v38', 'v70', 'v39']",12
241,c28,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
241,c29,0.6403214285714286,0.8585883246527778,0.9999164782072368,"['v11', 'v33', 'v76', 'v67', 'v5', 'v19', 'v46', 'v83', 'v35', 'v6', 'v69']",11
241,c35,0.37550446428571427,0.9118245442708334,0.7507388466282895,"['v30', 'v49', 'v32', 'v81', 'v26', 'v15', 'v72', 'v92', 'v14']",9
301,c5,0.8549241071428572,0.9716457790798612,0.9973401521381579,"['v22', 'v34', 'v91', 'v54', 'v17', 'v3', 'v53', 'v18', 'v2', 'v70', 'v10', 'v48']",12
301,c16,0.7696517857142857,0.9902750651041666,0.9607608192845395,"['v8', 'v89', 'v7', 'v24', 'v99', 'v90', 'v51', 'v38', 'v74', 'v9', 'v13', 'v75', 'v39']",13
301,c25,0.6966830357142857,0.7314995659722222,0.9879086143092105,"['v45', 'v73', 'v96', 'v47', 'v63', 'v36', 'v71', 'v25', 'v0']",9
301,c26,0.25096875,0.6666598849826388,0.47425280119243424,"['v1', 'v43', 'v85', 'v16', 'v4', 'v12']",6
301,c28,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
301,c30,0.144125,0.2639499240451389,0.28977243523848684,"['v98', 'v78', 'v79', 'v23']",4
301,c43,0.6053482142857143,0.8862847222222222,0.9998008326480263,"['v11', 'v33', 'v76', 'v67', 'v5', 'v19', 'v83', 'v49']",8
301,c50,0.8929508928571429,0.8881157769097222,0.9996530633223685,"['v66', 'v44', 'v31', 'v28', 'v64', 'v97', 'v58', 'v20']",8
361,c3,0.2688526785714286,0.5073310004340278,0.5664608604029605,"['v57', 'v98', 'v78', 'v42', 'v79', 'v23', 'v59']",7
361,c11,0.5526964285714285,0.9507988823784722,0.9871986790707237,"['v11', 'v76', 'v5', 'v19', 'v32', 'v26', 'v15', 'v92', 'v6', 'v14', 'v69']",11
361,c30,0.8549241071428572,0.9716457790798612,0.9973401521381579,"['v22', 'v34', 'v91', 'v54', 'v17', 'v3', 'v53', 'v18', 'v2', 'v70', 'v10', 'v48']",12
361,c38,0.8409241071428571,0.9513888888888888,0.9872982627467105,"['v8', 'v73', 'v89', 'v7', 'v24', 'v90', 'v1', 'v9', 'v43', 'v13', 'v25']",11
361,c43,0.6254866071428572,0.8399793836805556,0.9873239617598685,"['v45', 'v96', 'v47', 'v63', 'v36', 'v51', 'v38', 'v74', 'v75', 'v39']",10
361,c50,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
421,c14,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
421,c24,0.8409241071428571,0.9513888888888888,0.9872982627467105,"['v8', 'v73', 'v89', 'v7', 'v24', 'v90', 'v1', 'v9', 'v43', 'v13', 'v25']",11
421,c28,0.5348526785714286,0.6391533745659722,0.7358109323601973,"['v34', 'v91', 'v53', 'v57', 'v42', 'v70', 'v48', 'v79', 'v59']",9
421,c32,0.5889241071428571,0.8398234049479166,0.827990080180921,"['v22', 'v54', 'v17', 'v3', 'v18', 'v2', 'v98', 'v78', 'v10', 'v23']",10
421,c36,0.6254866071428572,0.8399793836805556,0.9873239617598685,"['v45', 'v96', 'v47', 'v63', 'v36', 'v51', 'v38', 'v74', 'v75', 'v39']",10
421,c43,0.16239732142857144,0.46563720703125,0.22464149876644737,"['v85', 'v16', 'v4', 'v12', 'v0']",5
421,c50,0.8929508928571429,0.8881157769097222,0.9996530633223685,"['v66', 'v44', 'v31', 'v28', 'v64', 'v97', 'v58', 'v20']",8
481,c7,0.87321875,0.9059855143229166,0.8559923673930921,"['v61', 'v40', 'v65', 'v62', 'v44', 'v20', 'v27', 'v94', 'v21']",9
481,c12,0.8549241071428572,0.9716457790798612,0.9973401521381579,"['v22', 'v34', 'v91', 'v54', 'v17', 'v3', 'v53', 'v18', 'v2', 'v70', 'v10', 'v48']",12
481,c14,0.9993883928571429,0.9328138563368056,0.9209016498766447,"['v52', 'v84', 'v93', 'v66', 'v31', 'v28', 'v97', 'v58', 'v68', 'v60']",10
481,c22,0.41085714285714287,0.6582709418402778,0.5408967670641447,"['v64', 'v82', 'v87', 'v56', 'v29', 'v41', 'v77', 'v86', 'v50', 'v55']",10
481,c23,0.14247321428571427,0.11096869574652778,0.10574501439144737,['v73'],1
481,c37,0.6962633928571429,0.7299669053819444,0.9879792865953947,"['v45', 'v89', 'v96', 'v63', 'v99', 'v80', 'v75', 'v39', 'v71']",9
