time-step,social welfare
1,405
11,405
21,405
31,405
41,405
51,405
61,405
71,405
81,405
91,405
101,405
111,405
121,405
131,405
141,405
151,405
161,405
171,405
181,405
191,405
201,405
211,405
221,405
231,405
241,405
251,405
261,405
271,405
281,405
291,405
301,405
311,405
321,405
331,405
341,301
351,301
361,301
371,301
381,301
391,301
401,202
411,202
421,202
431,202
441,202
451,202
461,202
471,202
481,202
491,202
501,202
511,202
521,202
531,202
541,202
551,202
561,202
571,202
581,202
591,202
601,202
611,202
621,202
631,202
641,202
651,202
661,202
671,202
681,202
691,202
701,202
711,202
721,202
731,202
741,202
751,202
761,103
771,103
781,103
791,103
801,103
811,103
821,103
831,103
841,103
851,103
861,103
871,103
881,103
891,103
901,103
911,103
921,103
931,103
941,103
951,103
961,103
971,103
981,103
991,103
1001,103
1011,103
1021,103
1031,103
1041,103
1051,103
1061,103
1071,103
1081,103
1091,103
1101,103
1111,103
1121,103
1131,103
1141,103
1151,103
1161,103
1171,103
1181,103
1191,103
1201,103
1211,103
1221,103
1231,103
1241,103
1251,103
1261,103
1271,103
1281,103
1291,103
1301,103
1311,103
1321,103
1331,103
1341,103
1351,103
1361,103
1371,103
1381,103
1391,103
1401,103
1411,103
1421,103
1431,103
1441,103
1451,103
