time-step,prices
1,0
11,0
21,0
31,0
41,0
51,0
61,0
71,0
81,0
91,0
101,0
111,0
121,0
131,0
141,0
151,0
161,0
171,0
181,0
191,0
201,0
211,0
221,0
231,0
241,0
251,0
261,0
271,0
281,0
291,0
301,0
311,0
321,0
331,0
341,0
351,0
361,0
371,0
381,0
391,0
401,0
411,0
421,0
431,0
441,0
451,0
461,0
471,0
481,0
491,0
501,0
511,0
521,0
531,0
541,0
551,0
561,0
571,0
581,0
591,0
601,0
611,0
621,0
631,0
641,0
651,0
661,0
671,0
681,0
691,0
701,0
711,0
721,0
731,0
741,0
751,0
761,0
771,0
781,0
791,0
801,0
811,0
821,0
831,0
841,0
851,0
861,0
871,0
881,0
891,0
901,0
911,0
921,0
931,0
941,0
951,0
961,0
971,0
981,0
991,0
1001,0
1011,0
1021,0
1031,0
1041,0
1051,0
1061,0
1071,0
1081,0
1091,0
1101,0
1111,0
1121,0
1131,0
1141,0
1151,0
1161,0
1171,0
1181,0
1191,0
1201,0
1211,0
1221,0
1231,0
1241,0
1251,0
1261,0
1271,0
1281,0
1291,0
1301,0
1311,0
1321,0
1331,0
1341,0
1351,0
1361,0
1371,0
1381,0
1391,0
1401,0
1411,0
1421,0
1431,0
1441,0
1451,0
