time-step,"(number of users, used cloudlets, used cloudlets usage)"
1,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
11,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
21,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
31,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
41,"(100, 16, (98.50162866449512, 94.86864820846905, 98.50977198697069))"
51,"(100, 19, (98.09771986970684, 93.90317589576547, 98.57491856677524))"
61,"(100, 18, (98.42345276872965, 94.22890879478827, 98.90065146579805))"
71,"(100, 20, (97.87622149837134, 93.58004885993485, 98.50977198697069))"
81,"(100, 20, (97.87622149837134, 93.58004885993485, 98.50977198697069))"
91,"(100, 20, (97.87622149837134, 93.58004885993485, 98.50977198697069))"
101,"(100, 21, (97.65472312703584, 93.25692182410424, 98.44462540716613))"
111,"(100, 23, (97.05537459283387, 92.60675895765472, 97.92345276872965))"
121,"(100, 21, (97.70684039087948, 93.25822475570033, 98.57491856677524))"
131,"(100, 22, (97.38110749185668, 92.93249185667753, 98.24918566775244))"
141,"(100, 24, (96.83387622149837, 92.28363192182411, 97.85830618892508))"
151,"(100, 24, (96.83387622149837, 92.28363192182411, 97.85830618892508))"
161,"(100, 23, (97.26384364820846, 92.61197068403908, 98.44462540716613))"
171,"(100, 23, (97.26384364820846, 92.61197068403908, 98.44462540716613))"
181,"(98, 23, (97.26384364820846, 92.61197068403908, 98.44462540716613))"
191,"(98, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
201,"(98, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
211,"(98, 24, (96.93811074918567, 92.28623778501628, 98.11889250814332))"
221,"(97, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
231,"(97, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
241,"(97, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
251,"(94, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
261,"(93, 25, (96.61237785016287, 91.96050488599349, 97.79315960912052))"
271,"(90, 27, (95.96091205211727, 91.30903908794788, 97.14169381107492))"
281,"(90, 26, (96.28664495114006, 91.63477198697068, 97.46742671009773))"
291,"(87, 26, (96.28664495114006, 91.63477198697068, 97.46742671009773))"
301,"(85, 26, (96.28664495114006, 91.63477198697068, 97.46742671009773))"
311,"(84, 28, (95.63517915309447, 90.98330618892508, 96.81596091205212))"
321,"(83, 30, (94.98371335504886, 90.33184039087948, 96.16449511400651))"
331,"(82, 31, (94.65798045602605, 90.00610749185668, 95.83876221498372))"
341,"(81, 33, (94.00651465798046, 89.35464169381108, 95.18729641693811))"
351,"(80, 31, (94.65798045602605, 90.00610749185668, 95.83876221498372))"
361,"(80, 33, (94.00651465798046, 89.35464169381108, 95.18729641693811))"
371,"(76, 36, (93.02931596091206, 88.37744299674267, 94.21009771986971))"
381,"(76, 37, (92.70358306188925, 88.05171009771988, 93.88436482084691))"
391,"(76, 39, (92.05211726384366, 87.40024429967427, 93.2328990228013))"
401,"(72, 38, (92.37785016286645, 87.72597719869707, 93.5586319218241))"
411,"(72, 39, (92.05211726384366, 87.40024429967427, 93.2328990228013))"
421,"(70, 38, (92.37785016286645, 87.72597719869707, 93.5586319218241))"
431,"(69, 40, (91.72638436482085, 87.07451140065146, 92.9071661237785))"
441,"(68, 41, (91.40065146579805, 86.74877850162866, 92.5814332247557))"
451,"(67, 42, (91.07491856677524, 86.42304560260587, 92.2557003257329))"
461,"(63, 43, (90.74918566775244, 86.09731270358307, 91.92996742671009))"
471,"(61, 43, (90.74918566775244, 86.09731270358307, 91.92996742671009))"
481,"(61, 47, (89.44625407166124, 84.79438110749186, 90.6270358306189))"
491,"(61, 47, (89.44625407166124, 84.79438110749186, 90.6270358306189))"
501,"(60, 49, (88.79478827361564, 84.14291530944625, 89.97557003257329))"
511,"(58, 49, (88.79478827361564, 84.14291530944625, 89.97557003257329))"
521,"(57, 51, (88.14332247557003, 83.49144951140065, 89.32410423452768))"
531,"(54, 52, (87.81758957654723, 83.16571661237785, 88.99837133550488))"
541,"(50, 54, (87.16612377850163, 82.51425081433224, 88.34690553745928))"
551,"(48, 54, (87.16612377850163, 82.51425081433224, 88.34690553745928))"
561,"(44, 54, (87.16612377850163, 82.51425081433224, 88.34690553745928))"
571,"(44, 56, (86.51465798045602, 81.86278501628664, 87.69543973941369))"
581,"(43, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
591,"(41, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
601,"(40, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
611,"(39, 60, (85.21172638436482, 80.55985342019544, 86.39250814332247))"
621,"(35, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
631,"(33, 61, (84.88599348534203, 80.23412052117263, 86.06677524429968))"
641,"(33, 62, (84.56026058631922, 79.90838762214983, 85.74104234527687))"
651,"(31, 63, (84.23452768729642, 79.58265472312704, 85.41530944625407))"
661,"(29, 65, (83.58306188925081, 78.93118892508143, 84.76384364820846))"
671,"(28, 64, (83.90879478827361, 79.25692182410423, 85.08957654723127))"
681,"(27, 65, (83.58306188925081, 78.93118892508143, 84.76384364820846))"
691,"(27, 67, (82.93159609120521, 78.27972312703582, 84.11237785016287))"
701,"(25, 67, (82.93159609120521, 78.27972312703582, 84.11237785016287))"
711,"(22, 67, (82.93159609120521, 78.27972312703582, 84.11237785016287))"
721,"(21, 69, (82.2801302931596, 77.62825732899022, 83.46091205211727))"
731,"(20, 70, (81.9543973941368, 77.30252442996742, 83.13517915309447))"
