time-step,"(number of users, execution time)"
1,"(100, 4.137299060821533)"
11,"(100, 3.7288897037506104)"
21,"(100, 3.7168691158294678)"
31,"(100, 3.694249391555786)"
41,"(100, 3.672342300415039)"
51,"(100, 3.1716561317443848)"
61,"(100, 3.387439489364624)"
71,"(100, 3.2198736667633057)"
81,"(100, 3.4161040782928467)"
91,"(100, 3.762803316116333)"
101,"(100, 3.5535075664520264)"
111,"(100, 3.4737772941589355)"
121,"(100, 3.5963785648345947)"
131,"(100, 3.6967148780822754)"
141,"(100, 3.9059808254241943)"
151,"(100, 3.726360559463501)"
161,"(100, 3.9303648471832275)"
171,"(100, 3.743440628051758)"
181,"(98, 3.7000186443328857)"
191,"(98, 4.186776161193848)"
201,"(98, 3.911412239074707)"
211,"(98, 3.970959186553955)"
221,"(97, 3.8899810314178467)"
231,"(97, 4.373328447341919)"
241,"(97, 4.147197008132935)"
251,"(94, 4.002863883972168)"
261,"(93, 3.872372627258301)"
271,"(90, 3.7445900440216064)"
281,"(90, 3.6270081996917725)"
291,"(87, 3.412036180496216)"
301,"(86, 3.66611647605896)"
311,"(84, 3.488285541534424)"
321,"(84, 3.537627935409546)"
331,"(82, 3.3050384521484375)"
341,"(81, 3.010979175567627)"
351,"(80, 3.1455814838409424)"
361,"(80, 3.025355100631714)"
371,"(76, 2.820387840270996)"
381,"(76, 2.970073699951172)"
391,"(76, 2.866342067718506)"
401,"(72, 2.8380463123321533)"
411,"(72, 2.386517286300659)"
421,"(70, 2.092165470123291)"
431,"(69, 2.199829339981079)"
441,"(68, 2.2239668369293213)"
451,"(67, 2.1196255683898926)"
461,"(63, 2.0158650875091553)"
471,"(61, 1.930103063583374)"
481,"(61, 1.854233980178833)"
491,"(61, 1.761080026626587)"
501,"(60, 1.7932474613189697)"
511,"(58, 1.5784475803375244)"
521,"(57, 1.6040399074554443)"
531,"(54, 1.4156270027160645)"
541,"(50, 1.2525227069854736)"
551,"(48, 1.28627347946167)"
561,"(45, 1.193798303604126)"
571,"(44, 1.230769395828247)"
581,"(43, 1.1689682006835938)"
591,"(41, 1.2760992050170898)"
601,"(40, 1.3816883563995361)"
611,"(39, 1.0785672664642334)"
621,"(39, 1.1912317276000977)"
631,"(33, 0.8280811309814453)"
641,"(33, 0.8208613395690918)"
651,"(31, 0.7451746463775635)"
661,"(29, 0.6292085647583008)"
671,"(28, 0.9559595584869385)"
681,"(27, 0.8583526611328125)"
691,"(27, 0.8147022724151611)"
701,"(25, 0.7987382411956787)"
711,"(22, 0.8371217250823975)"
721,"(21, 0.7388186454772949)"
731,"(20, 0.7144386768341064)"
741,"(18, 0.5437798500061035)"
751,"(18, 0.5915946960449219)"
761,"(14, 0.41536903381347656)"
771,"(13, 0.42142796516418457)"
781,"(11, 0.3202366828918457)"
791,"(9, 0.28568530082702637)"
801,"(9, 0.2807121276855469)"
811,"(9, 0.28476524353027344)"
821,"(9, 0.2768747806549072)"
831,"(7, 0.2207176685333252)"
841,"(6, 0.17867588996887207)"
851,"(5, 0.14337754249572754)"
861,"(3, 0.09188151359558105)"
871,"(3, 0.08689427375793457)"
881,"(2, 0.05147194862365723)"
891,"(1, 0.023051977157592773)"
