time-step,"(number of users, avg latency (for the allocated))"
1,"(100, 0.0)"
11,"(100, 0.04329387291338827)"
21,"(100, 0.04103442611556199)"
31,"(100, 0.04032970022080121)"
41,"(100, 0.09269807700844762)"
51,"(100, 0.15322342494146052)"
61,"(100, 0.1566934752793763)"
71,"(100, 0.15543123905026313)"
81,"(100, 0.16284448603802437)"
91,"(100, 0.22835289525202232)"
101,"(100, 0.19432189654424878)"
111,"(100, 0.16436543503566414)"
121,"(100, 0.20196719304084518)"
131,"(100, 0.18653909966741775)"
141,"(100, 0.23696425812228342)"
151,"(100, 0.2216147113505504)"
161,"(100, 0.27144900808188177)"
171,"(100, 0.2622802882003013)"
181,"(98, 0.28647645942967187)"
191,"(98, 0.25896250917951064)"
201,"(98, 0.3749044092621841)"
211,"(98, 0.3187002580359119)"
221,"(97, 0.275602527395877)"
231,"(97, 0.3063024356161574)"
241,"(97, 0.2697838556497811)"
251,"(94, 0.30146040683762065)"
261,"(93, 0.29874327372514226)"
271,"(90, 0.19306470484413865)"
281,"(90, 0.20346012286400258)"
291,"(87, 0.21648417049286284)"
301,"(85, 0.24537188674824703)"
311,"(84, 0.23963011325847935)"
321,"(83, 0.28136356760624326)"
331,"(82, 0.25482464497802865)"
341,"(81, 0.19981051385836307)"
351,"(80, 0.2574838956687642)"
361,"(80, 0.22342547180369227)"
371,"(76, 0.1897477746385361)"
381,"(76, 0.16955601152866076)"
391,"(76, 0.22567578088993992)"
401,"(72, 0.23397982294476607)"
411,"(72, 0.26716300340791854)"
421,"(70, 0.2813814798636451)"
431,"(69, 0.1984934406389639)"
441,"(68, 0.23863844389772199)"
451,"(67, 0.26403114964205365)"
461,"(63, 0.22653058184831526)"
471,"(61, 0.13679354238095534)"
481,"(61, 0.23861234542099072)"
491,"(61, 0.2763868506360941)"
501,"(60, 0.27703138671820793)"
511,"(58, 0.32114802804105297)"
521,"(57, 0.2876588713203232)"
531,"(54, 0.16050300266609382)"
541,"(50, 0.2982125842368543)"
551,"(48, 0.20313238600186703)"
561,"(44, 0.2389635673937777)"
571,"(44, 0.1786925467849917)"
581,"(43, 0.1758706299537595)"
591,"(41, 0.23694092934330094)"
601,"(40, 0.2820703396302471)"
611,"(39, 0.35745401140679944)"
621,"(35, 0.23453719693092195)"
631,"(33, 0.25173954058287945)"
641,"(33, 0.32724679300641246)"
651,"(31, 0.2894577523922839)"
661,"(29, 0.24860657164897285)"
671,"(28, 0.2307278418425159)"
681,"(27, 0.23221599487058275)"
691,"(27, 0.14830402178946633)"
701,"(25, 0.1850710257234962)"
711,"(22, 0.16005194858597738)"
721,"(21, 0.12202389482676447)"
731,"(20, 0.09670652427651136)"
741,"(18, 0.13445866354416927)"
751,"(18, 0.13041647655734598)"
761,"(14, 0.12119686055613357)"
771,"(13, 0.27102117557534516)"
781,"(11, 0.33145934391125503)"
791,"(9, 0.3155184151919834)"
801,"(9, 0.3155184151919834)"
811,"(9, 0.28511268817963886)"
821,"(9, 0.20872836942345643)"
831,"(7, 0.313880456686765)"
841,"(6, 0.4400446247121746)"
851,"(5, 0.19704483152035293)"
861,"(3, 0.3122163138805067)"
871,"(3, 0.3122163138805067)"
881,"(2, 0.19286625061791562)"
