time-step,"(number of users, social welfare)"
1,"(100, 12393)"
11,"(100, 12393)"
21,"(100, 12393)"
31,"(100, 12393)"
41,"(100, 12393)"
51,"(100, 12393)"
61,"(100, 12393)"
71,"(100, 12393)"
81,"(100, 12393)"
91,"(100, 12393)"
101,"(100, 12393)"
111,"(100, 12393)"
121,"(100, 12393)"
131,"(100, 12393)"
141,"(100, 12393)"
151,"(100, 12393)"
161,"(100, 12393)"
171,"(100, 12393)"
181,"(98, 12187)"
191,"(98, 12187)"
201,"(98, 12187)"
211,"(98, 12187)"
221,"(97, 12031)"
231,"(97, 12031)"
241,"(97, 12031)"
251,"(94, 11631)"
261,"(93, 11481)"
271,"(90, 11144)"
281,"(90, 11144)"
291,"(87, 10757)"
301,"(85, 10452)"
311,"(84, 10297)"
321,"(83, 10193)"
331,"(82, 10092)"
341,"(81, 9984)"
351,"(80, 9841)"
361,"(80, 9841)"
371,"(76, 9369)"
381,"(76, 9369)"
391,"(76, 9369)"
401,"(72, 8858)"
411,"(72, 8858)"
421,"(70, 8563)"
431,"(69, 8472)"
441,"(68, 8375)"
451,"(67, 8227)"
461,"(63, 7722)"
471,"(61, 7524)"
481,"(61, 7524)"
491,"(61, 7524)"
501,"(60, 7419)"
511,"(58, 7177)"
521,"(57, 7081)"
531,"(54, 6786)"
541,"(50, 6246)"
551,"(48, 5935)"
561,"(44, 5381)"
571,"(44, 5381)"
581,"(43, 5284)"
591,"(41, 5036)"
601,"(40, 4888)"
611,"(39, 4790)"
621,"(35, 4257)"
631,"(33, 4058)"
641,"(33, 4058)"
651,"(31, 3848)"
661,"(29, 3593)"
671,"(28, 3495)"
681,"(27, 3406)"
691,"(27, 3406)"
701,"(25, 3201)"
711,"(22, 2814)"
721,"(21, 2663)"
731,"(20, 2580)"
741,"(18, 2330)"
751,"(18, 2330)"
761,"(14, 1769)"
771,"(13, 1672)"
781,"(11, 1424)"
791,"(9, 1122)"
801,"(9, 1122)"
811,"(9, 1122)"
821,"(9, 1122)"
831,"(7, 939)"
841,"(6, 784)"
851,"(5, 679)"
861,"(3, 383)"
871,"(3, 383)"
881,"(2, 241)"
