time-step,"(number of users, used cloudlets, used cloudlets usage)"
1,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
11,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
21,"(100, 13, (99.11400651465799, 95.8406351791531, 99.16123778501628))"
31,"(100, 14, (98.78827361563518, 95.51490228013029, 98.83550488599349))"
41,"(100, 16, (98.50162866449512, 94.86864820846905, 98.50977198697069))"
51,"(100, 18, (98.21498371335505, 94.225, 98.57491856677524))"
61,"(100, 16, (98.86644951140065, 94.8764657980456, 99.22638436482085))"
71,"(100, 21, (97.55048859934854, 93.25431596091205, 98.18403908794788))"
81,"(100, 20, (97.87622149837134, 93.58004885993485, 98.50977198697069))"
91,"(100, 20, (97.87622149837134, 93.58004885993485, 98.50977198697069))"
101,"(100, 21, (97.65472312703584, 93.25692182410424, 98.44462540716613))"
111,"(100, 23, (97.05537459283387, 92.60675895765472, 97.92345276872965))"
121,"(100, 22, (97.38110749185668, 92.93249185667753, 98.24918566775244))"
131,"(100, 23, (97.05537459283387, 92.60675895765472, 97.92345276872965))"
141,"(100, 24, (96.83387622149837, 92.28363192182411, 97.85830618892508))"
151,"(100, 24, (96.83387622149837, 92.28363192182411, 97.85830618892508))"
161,"(100, 24, (96.93811074918567, 92.28623778501628, 98.11889250814332))"
171,"(100, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
181,"(98, 23, (97.26384364820846, 92.61197068403908, 98.44462540716613))"
191,"(98, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
201,"(98, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
211,"(98, 24, (96.93811074918567, 92.28623778501628, 98.11889250814332))"
221,"(97, 22, (97.58957654723127, 92.93770358306189, 98.77035830618892))"
231,"(97, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
241,"(97, 23, (97.26384364820846, 92.6119706840391, 98.44462540716613))"
251,"(94, 24, (96.93811074918567, 92.28623778501628, 98.11889250814332))"
261,"(93, 25, (96.61237785016287, 91.96050488599349, 97.79315960912052))"
271,"(90, 26, (96.28664495114006, 91.63477198697069, 97.46742671009773))"
281,"(90, 27, (95.96091205211727, 91.30903908794788, 97.14169381107492))"
291,"(87, 26, (96.28664495114006, 91.63477198697069, 97.46742671009773))"
301,"(85, 27, (95.96091205211727, 91.30903908794788, 97.14169381107492))"
311,"(84, 28, (95.63517915309447, 90.98330618892508, 96.81596091205212))"
321,"(83, 31, (94.65798045602605, 90.00610749185668, 95.83876221498372))"
331,"(82, 32, (94.33224755700326, 89.68037459283387, 95.5130293159609))"
341,"(81, 33, (94.00651465798046, 89.35464169381108, 95.18729641693811))"
351,"(80, 32, (94.33224755700326, 89.68037459283387, 95.5130293159609))"
361,"(80, 34, (93.68078175895765, 89.02890879478828, 94.86156351791531))"
371,"(76, 37, (92.70358306188925, 88.05171009771988, 93.88436482084691))"
381,"(76, 38, (92.37785016286645, 87.72597719869707, 93.5586319218241))"
391,"(76, 39, (92.05211726384366, 87.40024429967427, 93.2328990228013))"
401,"(72, 39, (92.05211726384366, 87.40024429967427, 93.2328990228013))"
411,"(72, 40, (91.72638436482085, 87.07451140065147, 92.9071661237785))"
421,"(70, 39, (92.05211726384366, 87.40024429967427, 93.2328990228013))"
431,"(69, 41, (91.40065146579805, 86.74877850162866, 92.5814332247557))"
441,"(68, 42, (91.07491856677524, 86.42304560260587, 92.2557003257329))"
451,"(67, 42, (91.07491856677524, 86.42304560260587, 92.2557003257329))"
461,"(63, 43, (90.74918566775244, 86.09731270358307, 91.92996742671009))"
471,"(61, 43, (90.74918566775244, 86.09731270358307, 91.92996742671009))"
481,"(61, 47, (89.44625407166124, 84.79438110749186, 90.6270358306189))"
491,"(61, 47, (89.44625407166124, 84.79438110749186, 90.6270358306189))"
501,"(60, 49, (88.79478827361564, 84.14291530944625, 89.97557003257329))"
511,"(58, 49, (88.79478827361564, 84.14291530944625, 89.97557003257329))"
521,"(57, 50, (88.46905537459284, 83.81718241042344, 89.64983713355049))"
531,"(54, 51, (88.14332247557003, 83.49144951140065, 89.32410423452768))"
541,"(50, 53, (87.49185667752442, 82.83998371335505, 88.67263843648209))"
551,"(48, 53, (87.49185667752442, 82.83998371335505, 88.67263843648209))"
561,"(44, 54, (87.16612377850163, 82.51425081433224, 88.34690553745928))"
571,"(44, 56, (86.51465798045602, 81.86278501628664, 87.69543973941369))"
581,"(43, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
591,"(41, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
601,"(40, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
611,"(39, 59, (85.53745928338762, 80.88558631921823, 86.71824104234528))"
621,"(35, 58, (85.86319218241043, 81.21131921824104, 87.04397394136808))"
631,"(33, 60, (85.21172638436482, 80.55985342019544, 86.39250814332247))"
641,"(33, 61, (84.88599348534203, 80.23412052117263, 86.06677524429968))"
651,"(31, 62, (84.56026058631922, 79.90838762214983, 85.74104234527687))"
661,"(29, 64, (83.90879478827361, 79.25692182410423, 85.08957654723127))"
671,"(28, 63, (84.23452768729642, 79.58265472312704, 85.41530944625407))"
681,"(27, 64, (83.90879478827361, 79.25692182410423, 85.08957654723127))"
691,"(27, 65, (83.58306188925081, 78.93118892508143, 84.76384364820846))"
701,"(25, 66, (83.25732899022802, 78.60545602605862, 84.43811074918567))"
711,"(22, 67, (82.93159609120521, 78.27972312703582, 84.11237785016287))"
721,"(21, 68, (82.60586319218241, 77.95399022801303, 83.78664495114006))"
731,"(20, 68, (82.60586319218241, 77.95399022801303, 83.78664495114006))"
