time-step,"(number of users, execution time)"
1,"(100, 5.664101600646973)"
11,"(100, 5.728677988052368)"
21,"(100, 5.62959623336792)"
31,"(100, 5.654735565185547)"
41,"(100, 5.777309417724609)"
51,"(100, 5.780162334442139)"
61,"(100, 6.079801559448242)"
71,"(100, 6.31126856803894)"
81,"(100, 6.078799724578857)"
91,"(100, 6.042865753173828)"
101,"(100, 6.375997543334961)"
111,"(100, 6.150397062301636)"
121,"(100, 6.050369501113892)"
131,"(100, 6.91752290725708)"
141,"(100, 5.797118663787842)"
151,"(100, 5.923678159713745)"
161,"(100, 5.669711351394653)"
171,"(100, 5.498136758804321)"
181,"(98, 5.225793123245239)"
191,"(98, 5.366063594818115)"
201,"(98, 5.20606541633606)"
211,"(98, 5.274095058441162)"
221,"(97, 5.195455312728882)"
231,"(97, 5.1568286418914795)"
241,"(97, 5.153981685638428)"
251,"(94, 5.061561346054077)"
261,"(93, 4.926222324371338)"
271,"(90, 4.861498832702637)"
281,"(90, 4.7983081340789795)"
291,"(87, 4.482423305511475)"
301,"(86, 4.337576389312744)"
311,"(84, 4.277940511703491)"
321,"(84, 4.257208824157715)"
331,"(82, 4.095459938049316)"
341,"(81, 4.2178239822387695)"
351,"(80, 4.266447305679321)"
361,"(80, 4.234567880630493)"
371,"(76, 4.020568609237671)"
381,"(76, 3.9593541622161865)"
391,"(76, 3.9550745487213135)"
401,"(72, 3.766669988632202)"
411,"(72, 3.7110517024993896)"
421,"(70, 3.6726009845733643)"
431,"(69, 3.584449291229248)"
441,"(68, 3.468580722808838)"
451,"(67, 3.389794111251831)"
461,"(63, 3.157332420349121)"
471,"(61, 3.0661580562591553)"
481,"(61, 3.071777820587158)"
491,"(61, 3.0168709754943848)"
501,"(60, 2.996013879776001)"
511,"(58, 2.9531948566436768)"
521,"(57, 2.8323943614959717)"
531,"(54, 2.694890022277832)"
541,"(50, 2.4783935546875)"
551,"(48, 2.335103988647461)"
561,"(45, 2.13922381401062)"
571,"(44, 2.1019134521484375)"
581,"(43, 2.0692739486694336)"
591,"(41, 1.9608795642852783)"
601,"(40, 1.950528860092163)"
611,"(39, 1.9200689792633057)"
621,"(39, 1.8329763412475586)"
631,"(33, 1.5190463066101074)"
641,"(33, 1.5260663032531738)"
651,"(31, 1.4496262073516846)"
661,"(29, 1.3531980514526367)"
671,"(28, 1.283869981765747)"
681,"(27, 1.2647759914398193)"
691,"(27, 1.359487533569336)"
701,"(25, 1.1484694480895996)"
711,"(22, 0.9894986152648926)"
721,"(21, 0.9762551784515381)"
731,"(20, 0.9436013698577881)"
741,"(18, 0.7835314273834229)"
751,"(18, 0.7674722671508789)"
761,"(14, 0.6307435035705566)"
771,"(13, 0.5886068344116211)"
781,"(11, 0.47176384925842285)"
791,"(9, 0.386460542678833)"
801,"(9, 0.3897373676300049)"
811,"(9, 0.38222789764404297)"
821,"(9, 0.3865528106689453)"
831,"(7, 0.31462693214416504)"
841,"(6, 0.26503562927246094)"
851,"(5, 0.22741317749023438)"
861,"(3, 0.1379692554473877)"
871,"(3, 0.13812732696533203)"
881,"(2, 0.09696316719055176)"
891,"(1, 0.056054115295410156)"
