time-step,"(number of users, avg latency (for the allocated))"
1,"(100, 0.0)"
11,"(100, 0.06434878639005749)"
21,"(100, 0.06212639325343216)"
31,"(100, 0.06142166735867136)"
41,"(100, 0.0727643673317272)"
51,"(100, 0.13334780757571102)"
61,"(100, 0.12182238944073719)"
71,"(100, 0.11977151949646209)"
81,"(100, 0.18329525610995195)"
91,"(100, 0.22293663844632916)"
101,"(100, 0.18423322761416874)"
111,"(100, 0.0997135898360234)"
121,"(100, 0.1662567321077335)"
131,"(100, 0.16240097262581163)"
141,"(100, 0.25083837587463625)"
151,"(100, 0.16857989566365064)"
161,"(100, 0.2725422281541132)"
171,"(100, 0.2622521058382269)"
181,"(98, 0.286447701917351)"
191,"(98, 0.2858752469464886)"
201,"(98, 0.36317370228063534)"
211,"(98, 0.2731662836204325)"
221,"(97, 0.22959913056374323)"
231,"(97, 0.31854763471059505)"
241,"(97, 0.28259444967505365)"
251,"(94, 0.26637901065086933)"
261,"(93, 0.23161815185963053)"
271,"(90, 0.1782181184044109)"
281,"(90, 0.1886135364242749)"
291,"(87, 0.22195625606235153)"
301,"(85, 0.19259582836347586)"
311,"(84, 0.2417132554265725)"
321,"(83, 0.25379434764078174)"
331,"(82, 0.25482464497802865)"
341,"(81, 0.1779368127588686)"
351,"(80, 0.22688169898598898)"
361,"(80, 0.19453425866660076)"
371,"(76, 0.18636323019706438)"
381,"(76, 0.16617146708718902)"
391,"(76, 0.2483430813216586)"
401,"(72, 0.2579064014556003)"
411,"(72, 0.2910895819187527)"
421,"(70, 0.27054933559420513)"
431,"(69, 0.1405283555950599)"
441,"(68, 0.186994524633188)"
451,"(67, 0.19582155219739297)"
461,"(63, 0.1486081521841946)"
471,"(61, 0.10658258443822256)"
481,"(61, 0.2323659542204024)"
491,"(61, 0.2763868506360941)"
501,"(60, 0.27703138671820793)"
511,"(58, 0.3109175636956283)"
521,"(57, 0.23517299942602946)"
531,"(54, 0.10510124899989497)"
541,"(50, 0.26754078068118664)"
551,"(48, 0.13199832616612694)"
561,"(44, 0.1855722501842969)"
571,"(44, 0.17921608809908213)"
581,"(43, 0.18168908719411922)"
591,"(41, 0.20085991960902952)"
601,"(40, 0.21815454333018472)"
611,"(39, 0.31406715576607463)"
621,"(35, 0.1655117910737594)"
631,"(33, 0.22250809422186896)"
641,"(33, 0.29801534664540197)"
651,"(31, 0.2894577523922839)"
661,"(29, 0.2533390029325032)"
671,"(28, 0.23562928852902956)"
681,"(27, 0.19783980048922387)"
691,"(27, 0.08885836343921666)"
701,"(25, 0.1418009528887866)"
711,"(22, 0.12076056350882297)"
721,"(21, 0.11907052876970922)"
731,"(20, 0.09360548991660332)"
741,"(18, 0.1062636247966777)"
751,"(18, 0.0935036151066268)"
761,"(14, 0.10490134948933627)"
771,"(13, 0.09630659253668143)"
781,"(11, 0.11452155373251333)"
791,"(9, 0.31452438402360744)"
801,"(9, 0.31452438402360744)"
811,"(9, 0.28411865701126293)"
821,"(9, 0.1484928576305595)"
831,"(7, 0.23643479866732608)"
841,"(6, 0.436824976555143)"
851,"(5, 0.19318125373191503)"
861,"(3, 0.3122163138805067)"
871,"(3, 0.3122163138805067)"
881,"(2, 0.19286625061791562)"
