time-step,"(number of users, prices)"
1,"(100, 0)"
11,"(100, 0)"
21,"(100, 0)"
31,"(100, 0)"
41,"(100, 0)"
51,"(100, 0)"
61,"(100, 0)"
71,"(100, 0)"
81,"(100, 0)"
91,"(100, 0)"
101,"(100, 0)"
111,"(100, 0)"
121,"(100, 0)"
131,"(100, 0)"
141,"(100, 0)"
151,"(100, 0)"
161,"(100, 0)"
171,"(100, 0)"
181,"(98, 0)"
191,"(98, 0)"
201,"(98, 0)"
211,"(98, 0)"
221,"(97, 0)"
231,"(97, 0)"
241,"(97, 0)"
251,"(94, 0)"
261,"(93, 0)"
271,"(90, 0)"
281,"(90, 0)"
291,"(87, 0)"
301,"(85, 0)"
311,"(84, 0)"
321,"(83, 0)"
331,"(82, 0)"
341,"(81, 0)"
351,"(80, 0)"
361,"(80, 0)"
371,"(76, 0)"
381,"(76, 0)"
391,"(76, 0)"
401,"(72, 0)"
411,"(72, 0)"
421,"(70, 0)"
431,"(69, 0)"
441,"(68, 0)"
451,"(67, 0)"
461,"(63, 0)"
471,"(61, 0)"
481,"(61, 0)"
491,"(61, 0)"
501,"(60, 0)"
511,"(58, 0)"
521,"(57, 0)"
531,"(54, 0)"
541,"(50, 0)"
551,"(48, 0)"
561,"(44, 0)"
571,"(44, 0)"
581,"(43, 0)"
591,"(41, 0)"
601,"(40, 0)"
611,"(39, 0)"
621,"(35, 0)"
631,"(33, 0)"
641,"(33, 0)"
651,"(31, 0)"
661,"(29, 0)"
671,"(28, 0)"
681,"(27, 0)"
691,"(27, 0)"
701,"(25, 0)"
711,"(22, 0)"
721,"(21, 0)"
731,"(20, 0)"
741,"(18, 0)"
751,"(18, 0)"
761,"(14, 0)"
771,"(13, 0)"
781,"(11, 0)"
791,"(9, 0)"
801,"(9, 0)"
811,"(9, 0)"
821,"(9, 0)"
831,"(7, 0)"
841,"(6, 0)"
851,"(5, 0)"
861,"(3, 0)"
871,"(3, 0)"
881,"(2, 0)"
