time-step,cloudlets usage
1,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
11,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
21,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
31,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
41,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
51,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
61,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
71,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
81,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
91,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
101,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
111,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
121,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
131,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
141,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
151,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
161,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
171,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
181,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
191,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
201,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
211,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
221,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
231,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
241,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
251,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
261,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
271,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
281,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
291,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
301,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
311,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
321,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
331,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
341,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
351,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
361,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
371,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
381,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
391,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
401,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
411,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
421,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
431,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
441,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
451,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
461,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
471,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
481,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
491,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
501,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
511,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
521,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
531,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
541,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
551,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
561,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
571,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
581,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
591,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
601,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
611,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
621,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
631,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
641,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
651,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
661,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
671,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
681,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
691,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
701,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
711,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
721,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
731,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
741,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
751,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
761,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
