time-step,"(number of users, prices)"
1,"(50, 0)"
11,"(50, 0)"
21,"(50, 0)"
31,"(50, 0)"
41,"(50, 0)"
51,"(50, 0)"
61,"(50, 0)"
71,"(50, 0)"
81,"(50, 0)"
91,"(50, 0)"
101,"(50, 0)"
111,"(50, 0)"
121,"(50, 0)"
131,"(50, 0)"
141,"(50, 0)"
151,"(50, 0)"
161,"(50, 0)"
171,"(50, 0)"
181,"(49, 0)"
191,"(49, 0)"
201,"(49, 0)"
211,"(49, 0)"
221,"(49, 0)"
231,"(49, 0)"
241,"(48, 0)"
251,"(47, 0)"
261,"(46, 0)"
271,"(45, 0)"
281,"(45, 0)"
291,"(43, 0)"
301,"(41, 0)"
311,"(41, 0)"
321,"(41, 0)"
331,"(41, 0)"
341,"(40, 0)"
351,"(40, 0)"
361,"(39, 0)"
371,"(38, 0)"
381,"(38, 0)"
391,"(38, 0)"
401,"(36, 0)"
411,"(36, 0)"
421,"(36, 0)"
431,"(35, 0)"
441,"(35, 0)"
451,"(35, 0)"
461,"(33, 0)"
471,"(32, 0)"
481,"(32, 0)"
491,"(32, 0)"
501,"(30, 0)"
511,"(29, 0)"
521,"(29, 0)"
531,"(28, 0)"
541,"(25, 0)"
551,"(24, 0)"
561,"(22, 0)"
571,"(22, 0)"
581,"(21, 0)"
591,"(19, 0)"
601,"(19, 0)"
611,"(18, 0)"
621,"(17, 0)"
631,"(16, 0)"
641,"(16, 0)"
651,"(16, 0)"
661,"(15, 0)"
671,"(14, 0)"
681,"(13, 0)"
691,"(13, 0)"
701,"(12, 0)"
711,"(10, 0)"
721,"(10, 0)"
731,"(10, 0)"
741,"(10, 0)"
751,"(10, 0)"
761,"(9, 0)"
771,"(7, 0)"
781,"(6, 0)"
791,"(6, 0)"
801,"(6, 0)"
811,"(5, 0)"
821,"(5, 0)"
831,"(4, 0)"
841,"(4, 0)"
851,"(3, 0)"
861,"(1, 0)"
871,"(1, 0)"
