time-step,"(number of users, cloudlets usage)"
1,"(50, (0.067158909492818, 0.0073754873817932776, 0.07233973965368534))"
11,"(50, (0.067158909492818, 0.0073754873817932776, 0.07233973965368534))"
21,"(50, (0.067158909492818, 0.0073754873817932776, 0.07233973965368534))"
31,"(50, (0.067158909492818, 0.0073754873817932776, 0.07233973965368534))"
41,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
51,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
61,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
71,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
81,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
91,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
101,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
111,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
121,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
131,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
141,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
151,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
161,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
171,"(50, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
181,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
191,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
201,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
211,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
221,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
231,"(49, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
241,"(48, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
251,"(47, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
261,"(46, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
271,"(45, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
281,"(45, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
291,"(43, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
301,"(41, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
311,"(41, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
321,"(41, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
331,"(41, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
341,"(40, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
351,"(40, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
361,"(39, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
371,"(38, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
381,"(38, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
391,"(38, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
401,"(36, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
411,"(36, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
421,"(36, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
431,"(35, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
441,"(35, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
451,"(35, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
461,"(33, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
471,"(32, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
481,"(32, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
491,"(32, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
501,"(30, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
511,"(29, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
521,"(29, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
531,"(28, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
541,"(25, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
551,"(24, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
561,"(22, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
571,"(22, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
581,"(21, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
591,"(19, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
601,"(19, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
611,"(18, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
621,"(17, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
631,"(16, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
641,"(16, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
651,"(16, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
661,"(15, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
671,"(14, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
681,"(13, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
691,"(13, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
701,"(12, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
711,"(10, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
721,"(10, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
731,"(10, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
741,"(10, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
751,"(10, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
761,"(9, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
771,"(7, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
781,"(6, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
791,"(6, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
801,"(6, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
811,"(5, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
821,"(5, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
831,"(4, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
841,"(4, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
851,"(3, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
861,"(1, (0.07022903106962985, 0.007567369980350236, 0.07387480044209838))"
