time-step,"(number of users, execution time)"
1,"(50, 87.59833717346191)"
11,"(50, 90.03489923477173)"
21,"(50, 83.24899077415466)"
31,"(50, 78.30023860931396)"
41,"(50, 72.5105242729187)"
51,"(50, 60.74276304244995)"
61,"(50, 60.300758838653564)"
71,"(50, 56.56524896621704)"
81,"(50, 64.04928851127625)"
91,"(50, 82.98757743835449)"
101,"(50, 90.7342917919159)"
111,"(50, 80.68132781982422)"
121,"(50, 107.67575240135193)"
131,"(50, 99.80233359336853)"
141,"(50, 87.95082497596741)"
151,"(50, 77.3773500919342)"
161,"(50, 122.59028005599976)"
171,"(50, 114.90705561637878)"
181,"(49, 127.39175343513489)"
191,"(49, 132.2854061126709)"
201,"(49, 139.64393496513367)"
211,"(49, 101.48969888687134)"
221,"(49, 108.59146809577942)"
231,"(49, 144.1322045326233)"
241,"(48, 118.79854393005371)"
251,"(47, 105.8309223651886)"
261,"(46, 70.38866448402405)"
271,"(45, 72.89279532432556)"
281,"(45, 90.08212757110596)"
291,"(43, 89.49235081672668)"
301,"(42, 102.82763481140137)"
311,"(41, 69.92742419242859)"
321,"(41, 53.95713996887207)"
331,"(41, 56.5974543094635)"
341,"(40, 59.51520562171936)"
351,"(40, 124.31227254867554)"
361,"(39, 89.4215567111969)"
371,"(39, 67.65669393539429)"
381,"(38, 54.64841079711914)"
391,"(38, 23.511114835739136)"
401,"(36, 29.300517082214355)"
411,"(36, 58.26497960090637)"
421,"(36, 65.75545954704285)"
431,"(36, 69.36306023597717)"
441,"(35, 36.25253438949585)"
451,"(35, 24.191652536392212)"
461,"(33, 29.101426124572754)"
471,"(32, 21.606658220291138)"
481,"(32, 22.573620557785034)"
491,"(32, 28.800079107284546)"
501,"(30, 37.493534088134766)"
511,"(29, 34.34783124923706)"
521,"(29, 29.394299030303955)"
531,"(28, 28.258014917373657)"
541,"(25, 25.038300037384033)"
551,"(24, 24.210902214050293)"
561,"(22, 25.840885162353516)"
571,"(22, 21.002084016799927)"
581,"(21, 18.28874135017395)"
591,"(19, 26.247553825378418)"
601,"(19, 26.172696828842163)"
611,"(18, 20.81539249420166)"
621,"(17, 12.777931690216064)"
631,"(16, 11.311744689941406)"
641,"(16, 12.702473402023315)"
651,"(16, 13.849545001983643)"
661,"(15, 13.536940574645996)"
671,"(14, 14.203222513198853)"
681,"(13, 12.708154916763306)"
691,"(13, 23.637137413024902)"
701,"(12, 25.555923223495483)"
711,"(10, 13.0738046169281)"
721,"(10, 5.907812118530273)"
731,"(10, 7.374579668045044)"
741,"(10, 7.2683351039886475)"
751,"(10, 9.923587560653687)"
761,"(9, 7.508926153182983)"
771,"(7, 7.424163579940796)"
781,"(6, 4.0080156326293945)"
791,"(6, 2.151939630508423)"
801,"(6, 5.4533851146698)"
811,"(5, 7.413658857345581)"
821,"(5, 7.755085468292236)"
831,"(4, 8.343014240264893)"
841,"(4, 4.367793321609497)"
851,"(3, 2.125187635421753)"
861,"(1, 0.28969264030456543)"
871,"(1, 1.1440532207489014)"
