time-step,"(number of users, social welfare)"
1,"(50, 6308)"
11,"(50, 6308)"
21,"(50, 6308)"
31,"(50, 6308)"
41,"(50, 6308)"
51,"(50, 6308)"
61,"(50, 6308)"
71,"(50, 6308)"
81,"(50, 6308)"
91,"(50, 6308)"
101,"(50, 6308)"
111,"(50, 6308)"
121,"(50, 6308)"
131,"(50, 6308)"
141,"(50, 6308)"
151,"(50, 6308)"
161,"(50, 6308)"
171,"(50, 6308)"
181,"(49, 6196)"
191,"(49, 6196)"
201,"(49, 6196)"
211,"(49, 6196)"
221,"(49, 6196)"
231,"(49, 6196)"
241,"(48, 6101)"
251,"(47, 5949)"
261,"(46, 5799)"
271,"(45, 5654)"
281,"(45, 5654)"
291,"(43, 5416)"
301,"(41, 5122)"
311,"(41, 5122)"
321,"(41, 5122)"
331,"(41, 5122)"
341,"(40, 5014)"
351,"(40, 5014)"
361,"(39, 4860)"
371,"(38, 4755)"
381,"(38, 4755)"
391,"(38, 4755)"
401,"(36, 4498)"
411,"(36, 4498)"
421,"(36, 4498)"
431,"(35, 4358)"
441,"(35, 4358)"
451,"(35, 4358)"
461,"(33, 4113)"
471,"(32, 4016)"
481,"(32, 4016)"
491,"(32, 4016)"
501,"(30, 3801)"
511,"(29, 3651)"
521,"(29, 3651)"
531,"(28, 3548)"
541,"(25, 3142)"
551,"(24, 3045)"
561,"(22, 2748)"
571,"(22, 2748)"
581,"(21, 2651)"
591,"(19, 2402)"
601,"(19, 2402)"
611,"(18, 2301)"
621,"(17, 2148)"
631,"(16, 2000)"
641,"(16, 2000)"
651,"(16, 2000)"
661,"(15, 1897)"
671,"(14, 1799)"
681,"(13, 1696)"
691,"(13, 1696)"
701,"(12, 1549)"
711,"(10, 1300)"
721,"(10, 1300)"
731,"(10, 1300)"
741,"(10, 1300)"
751,"(10, 1300)"
761,"(9, 1146)"
771,"(7, 951)"
781,"(6, 794)"
791,"(6, 794)"
801,"(6, 794)"
811,"(5, 651)"
821,"(5, 651)"
831,"(4, 559)"
841,"(4, 559)"
851,"(3, 398)"
861,"(1, 158)"
871,"(1, 158)"
