time-step,number of users,number of winners,social welfare
1,73,72,35708
61,101,94,49261
121,130,117,63326
181,163,123,67556
241,205,182,99003
301,234,136,73184
361,246,196,104658
421,248,172,90456
481,250,185,98306
541,250,164,86555
601,250,179,96839
661,250,151,82500
721,250,181,97081
781,250,171,93302
841,247,180,94651
901,243,182,96351
961,227,166,85945
1021,207,165,86616
1081,184,141,74734
1141,151,124,66907
1201,133,111,59442
1261,105,84,45519
1321,77,67,36279
1381,55,49,25160
1441,40,35,18706
1501,35,35,17087
1561,17,17,7833
1621,14,14,5825
1681,11,11,3412
1741,10,10,3310
1801,8,8,2408
1861,8,8,2408
1921,7,7,1607
