time-step,number of winners,result list
1,22,"[('v8', 'c3'), ('v11', 'c3'), ('v22', 'c3'), ('v7', 'c3'), ('v24', 'c3'), ('v13', 'c3'), ('v21', 'c3'), ('v10', 'c3'), ('v18', 'c3'), ('v6', 'c3'), ('v14', 'c3'), ('v23', 'c3'), ('v3', 'c3'), ('v5', 'c3'), ('v0', 'c19'), ('v19', 'c19'), ('v20', 'c19'), ('v1', 'c19'), ('v17', 'c19'), ('v2', 'c19'), ('v9', 'c19'), ('v15', 'c3')]"
61,22,"[('v8', 'c3'), ('v11', 'c3'), ('v22', 'c3'), ('v7', 'c3'), ('v24', 'c3'), ('v13', 'c3'), ('v21', 'c3'), ('v10', 'c3'), ('v18', 'c3'), ('v6', 'c3'), ('v14', 'c3'), ('v23', 'c3'), ('v3', 'c3'), ('v5', 'c3'), ('v0', 'c19'), ('v19', 'c19'), ('v20', 'c19'), ('v1', 'c19'), ('v17', 'c19'), ('v2', 'c19'), ('v9', 'c19'), ('v15', 'c3')]"
121,15,"[('v8', 'c23'), ('v11', 'c23'), ('v22', 'c23'), ('v7', 'c23'), ('v24', 'c23'), ('v13', 'c23'), ('v21', 'c23'), ('v10', 'c23'), ('v18', 'c23'), ('v6', 'c23'), ('v14', 'c23'), ('v23', 'c23'), ('v3', 'c23'), ('v5', 'c23'), ('v15', 'c23')]"
181,22,"[('v8', 'c12'), ('v11', 'c12'), ('v22', 'c12'), ('v7', 'c12'), ('v24', 'c12'), ('v13', 'c12'), ('v21', 'c12'), ('v10', 'c12'), ('v18', 'c12'), ('v6', 'c12'), ('v14', 'c12'), ('v23', 'c12'), ('v3', 'c12'), ('v5', 'c12'), ('v0', 'c25'), ('v19', 'c25'), ('v20', 'c25'), ('v1', 'c25'), ('v17', 'c25'), ('v2', 'c25'), ('v9', 'c25'), ('v15', 'c12')]"
241,15,"[('v8', 'c14'), ('v11', 'c14'), ('v22', 'c14'), ('v7', 'c14'), ('v24', 'c14'), ('v13', 'c14'), ('v21', 'c14'), ('v10', 'c14'), ('v18', 'c14'), ('v6', 'c14'), ('v14', 'c14'), ('v23', 'c14'), ('v3', 'c14'), ('v5', 'c14'), ('v15', 'c14')]"
301,15,"[('v8', 'c18'), ('v11', 'c18'), ('v22', 'c18'), ('v7', 'c18'), ('v24', 'c18'), ('v13', 'c18'), ('v21', 'c18'), ('v10', 'c18'), ('v18', 'c18'), ('v6', 'c18'), ('v14', 'c18'), ('v23', 'c18'), ('v3', 'c18'), ('v5', 'c18'), ('v15', 'c18')]"
361,15,"[('v8', 'c6'), ('v11', 'c6'), ('v22', 'c6'), ('v7', 'c6'), ('v24', 'c6'), ('v13', 'c6'), ('v21', 'c6'), ('v10', 'c6'), ('v18', 'c6'), ('v6', 'c6'), ('v14', 'c6'), ('v23', 'c6'), ('v3', 'c6'), ('v5', 'c6'), ('v15', 'c6')]"
421,15,"[('v8', 'c5'), ('v11', 'c5'), ('v22', 'c5'), ('v7', 'c5'), ('v24', 'c5'), ('v13', 'c5'), ('v21', 'c5'), ('v10', 'c5'), ('v18', 'c5'), ('v6', 'c5'), ('v14', 'c5'), ('v23', 'c5'), ('v3', 'c5'), ('v5', 'c5'), ('v15', 'c5')]"
481,15,"[('v8', 'c16'), ('v11', 'c16'), ('v22', 'c16'), ('v7', 'c16'), ('v24', 'c16'), ('v13', 'c16'), ('v21', 'c16'), ('v10', 'c16'), ('v18', 'c16'), ('v6', 'c16'), ('v14', 'c16'), ('v23', 'c16'), ('v3', 'c16'), ('v5', 'c16'), ('v15', 'c16')]"
541,15,"[('v8', 'c24'), ('v11', 'c24'), ('v22', 'c24'), ('v7', 'c24'), ('v24', 'c24'), ('v13', 'c24'), ('v21', 'c24'), ('v10', 'c24'), ('v18', 'c24'), ('v6', 'c24'), ('v14', 'c24'), ('v23', 'c24'), ('v3', 'c24'), ('v5', 'c24'), ('v15', 'c24')]"
601,22,"[('v8', 'c20'), ('v11', 'c20'), ('v22', 'c20'), ('v7', 'c20'), ('v24', 'c20'), ('v13', 'c20'), ('v21', 'c20'), ('v10', 'c20'), ('v18', 'c20'), ('v6', 'c20'), ('v14', 'c20'), ('v23', 'c20'), ('v3', 'c20'), ('v5', 'c20'), ('v0', 'c24'), ('v19', 'c24'), ('v20', 'c24'), ('v1', 'c24'), ('v17', 'c24'), ('v2', 'c24'), ('v9', 'c24'), ('v15', 'c20')]"
661,22,"[('v8', 'c2'), ('v11', 'c2'), ('v22', 'c2'), ('v7', 'c2'), ('v24', 'c2'), ('v13', 'c2'), ('v21', 'c2'), ('v10', 'c2'), ('v18', 'c2'), ('v6', 'c2'), ('v14', 'c2'), ('v23', 'c2'), ('v3', 'c2'), ('v5', 'c2'), ('v0', 'c20'), ('v19', 'c20'), ('v20', 'c20'), ('v1', 'c20'), ('v17', 'c20'), ('v2', 'c20'), ('v9', 'c20'), ('v15', 'c2')]"
721,15,"[('v8', 'c11'), ('v11', 'c11'), ('v22', 'c11'), ('v7', 'c11'), ('v24', 'c11'), ('v13', 'c11'), ('v21', 'c11'), ('v10', 'c11'), ('v18', 'c11'), ('v6', 'c11'), ('v14', 'c11'), ('v23', 'c11'), ('v3', 'c11'), ('v5', 'c11'), ('v15', 'c11')]"
781,15,"[('v8', 'c4'), ('v11', 'c4'), ('v22', 'c4'), ('v7', 'c4'), ('v24', 'c4'), ('v13', 'c4'), ('v21', 'c4'), ('v10', 'c4'), ('v18', 'c4'), ('v6', 'c4'), ('v14', 'c4'), ('v23', 'c4'), ('v3', 'c4'), ('v5', 'c4'), ('v15', 'c4')]"
841,15,"[('v8', 'c17'), ('v11', 'c17'), ('v22', 'c17'), ('v7', 'c17'), ('v24', 'c17'), ('v13', 'c17'), ('v21', 'c17'), ('v10', 'c17'), ('v18', 'c17'), ('v6', 'c17'), ('v14', 'c17'), ('v23', 'c17'), ('v3', 'c17'), ('v5', 'c17'), ('v15', 'c17')]"
