time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010657310485839844,0.010040760040283203,[]
61,49,0.0013012886047363281,0.01894664764404297,[]
121,69,0.0015609264373779297,0.02420830726623535,[]
181,91,0.002637624740600586,0.044095516204833984,[]
241,100,0.002170085906982422,0.029732704162597656,[]
301,98,0.0025975704193115234,0.035094261169433594,[]
361,91,0.0021677017211914062,0.026978254318237305,[]
421,80,0.0018031597137451172,0.026463747024536133,[]
481,74,0.0020155906677246094,0.03360342979431152,[]
541,61,0.0016083717346191406,0.01153421401977539,[]
601,45,0.0012395381927490234,0.006979465484619141,[]
661,40,0.0016872882843017578,0.00837397575378418,[]
721,30,0.001234292984008789,0.004190921783447266,[]
781,12,0.001497030258178711,0.0031168460845947266,[]
841,3,0.0008790493011474609,0.0010411739349365234,[]
