time-step,number of users,avg latency (for the allocated)
1,73,0.2513272729147048
61,101,0.23074897698666255
121,130,0.25528993667871364
181,163,0.22876553354427495
241,205,0.31585573946515033
301,234,0.153678637543521
361,246,0.24343692420330124
421,248,0.19111058998852004
481,250,0.2510506956092342
541,250,0.19667587512289483
601,250,0.2203844641601499
661,250,0.18759550955745133
721,250,0.23204734041885058
781,250,0.201097130160752
841,247,0.2454193935653812
901,243,0.2572365255029676
961,227,0.21138103632356461
1021,207,0.2406081140456786
1081,184,0.26086069167987697
1141,151,0.26887821438303144
1201,133,0.2656618357827228
1261,105,0.17682385063210843
1321,77,0.2468601797703494
1381,55,0.2345530372228408
1441,40,0.27567609757182343
1501,35,0.3116194051222528
1561,17,0.23993153255866903
1621,14,0.28278050458395954
1681,11,0.3024284135493663
1741,10,0.32751356034711626
1801,8,0.3951997513201858
1861,8,0.29267520139170994
1921,7,0.60695048263347
