time-step,uId,u.bid,u.price,u.latency,u.cpu,u.storage,u.ram,winner(1) or loser(0)
1,v0,801,768.056300192632,0,16008,16274,65546,1
1,v1,780,769.3561490659221,0,16009,16331,65631,1
1,v2,405,392.4319501598464,0,8149,16435,16390,1
1,v3,808,768.6247441373359,0,15958,16345,65556,1
1,v4,391,0,0,7868,16460,16500,0
1,v5,808,767.1996200157424,0,15848,16293,65592,1
1,v6,98,93.60896770827733,0,3789,2968,4002,1
1,v7,779,705.9276128457836,0,32073,16508,32813,1
1,v8,810,701.728432951174,0,31985,16271,32768,1
1,v9,398,391.2331999513687,0,8041,16430,16360,1
1,v10,94,0,0,4124,2782,3994,0
1,v11,808,702.584480457742,0,31908,16389,32762,1
1,v12,392,0,0,8177,16379,16432,0
1,v13,101,0,0,4212,2916,4277,0
1,v14,102,0,0,4012,3160,4157,0
1,v15,395,385.9934401261174,0,8124,16375,16216,1
1,v16,390,389.8870012483265,0,7994,16342,16397,1
1,v17,409,388.74340309742854,0,7878,16345,16370,1
1,v18,102,0,0,3784,3058,3825,1
1,v19,799,766.9870810265722,0,15954,16274,65451,1
1,v20,799,769.5788149287808,0,15835,16531,65486,1
1,v21,105,101.10491929927488,0,4009,3054,4241,1
1,v22,808,702.9993082243197,0,31919,16404,32781,1
1,v23,94,0,0,4093,3233,4118,0
1,v24,112,102.37900510581841,0,4088,3163,4106,1
61,v0,801,768.056300192632,0.4340721237335235,16008,16274,65546,1
61,v1,780,769.3561490659221,0.4340721237335235,16009,16331,65631,1
61,v2,405,392.4319501598464,0.31860954519069795,8149,16435,16390,1
61,v3,808,768.6247441373359,0.31860954519069795,15958,16345,65556,1
61,v4,391,0,30,7868,16460,16500,0
61,v5,808,767.1996200157424,0.31860954519069795,15848,16293,65592,1
61,v6,98,93.60896770827733,0.31860954519069795,3789,2968,4002,1
61,v7,779,705.9276128457836,0.31860954519069795,32073,16508,32813,1
61,v8,810,701.728432951174,0.31860954519069795,31985,16271,32768,1
61,v9,398,391.2331999513687,0.4340721237335235,8041,16430,16360,1
61,v10,94,0,30,4124,2782,3994,0
61,v11,808,702.584480457742,0.31860954519069795,31908,16389,32762,1
61,v12,392,0,30,8177,16379,16432,0
61,v13,101,0,30,4212,2916,4277,0
61,v14,102,0,30,4012,3160,4157,0
61,v15,395,385.9934401261174,0.4340721237335235,8124,16375,16216,1
61,v16,390,389.8870012483265,0.4340721237335235,7994,16342,16397,1
61,v17,409,388.74340309742854,0.31860954519069795,7878,16345,16370,1
61,v18,102,0,0.31860954519069795,3784,3058,3825,1
61,v19,799,766.9870810265722,0.4340721237335235,15954,16274,65451,1
61,v20,799,769.5788149287808,0.4340721237335235,15835,16531,65486,1
61,v21,105,101.10491929927488,0.31860954519069795,4009,3054,4241,1
61,v22,808,702.9993082243197,0.31860954519069795,31919,16404,32781,1
61,v23,94,0,30,4093,3233,4118,0
61,v24,112,102.37900510581841,0.31860954519069795,4088,3163,4106,1
121,v0,801,0,1.5947128421881582,16008,16274,65546,0
121,v1,780,0,1.5947128421881582,16009,16331,65631,0
121,v2,405,399.21948388591113,0.9060716310452042,8149,16435,16390,1
121,v3,808,801.5928258118495,0.9060716310452042,15958,16345,65556,1
121,v4,391,0,30,7868,16460,16500,0
