time-step,uId,u.bid,u.price,u.latency,u.cpu,u.storage,u.ram,winner(1) or loser(0)
1,v0,99,0,30,4186,3071,4168,1
1,v1,790,790.0,30,15935,16481,65580,1
1,v2,405,0,30,8149,16435,16390,1
1,v3,808,0,30,15958,16345,65556,1
1,v4,391,0,30,7868,16460,16500,1
1,v5,808,0,30,15848,16293,65592,1
1,v6,98,0,30,3789,2968,4002,1
1,v7,779,536.93,30,32073,16508,32813,1
1,v8,810,535.46,30,31985,16271,32768,1
1,v9,398,0,30,8041,16430,16360,0
1,v10,94,0,30,4124,2782,3994,1
1,v11,808,0,30,31908,16389,32762,1
1,v12,392,0,30,8177,16379,16432,1
1,v13,101,74.16,30,4212,2916,4277,1
1,v14,102,0,30,4012,3160,4157,1
1,v15,395,0,30,8124,16375,16216,1
1,v16,390,0,30,7994,16342,16397,0
1,v17,409,0,30,7878,16345,16370,1
1,v18,102,0,30,3784,3058,3825,1
1,v19,799,0,30,15954,16274,65451,1
1,v20,799,788.87,30,15835,16531,65486,1
1,v21,105,77.67,30,4009,3054,4241,1
1,v22,808,0,30,31919,16404,32781,1
1,v23,94,0,30,4093,3233,4118,1
1,v24,112,0,30,4088,3163,4106,0
1,v25,99,0,30,4064,3173,4059,1
1,v27,404,0,30,7978,16346,16555,1
1,v43,395,0,30,8091,16232,16291,1
1,v46,105,0,30,3968,3048,4233,1
1,v66,809,0,30,32157,16541,32805,1
1,v67,798,0,30,32037,16372,32726,1
1,v81,798,535.03,30,31959,16385,32642,1
1,v83,102,82.93,30,3877,3261,4236,1
1,v84,793,0,30,31876,16423,32848,1
1,v96,791,789.53,30,15963,16437,65541,1
61,v0,99,0,0.8001862128224093,4186,3071,4168,0
61,v1,790,0,0.24869658228624147,15935,16481,65580,1
61,v2,405,405.0,0.40726022832146597,8149,16435,16390,1
61,v3,808,777.03,0.40726022832146597,15958,16345,65556,1
61,v4,391,0,0.8001862128224093,7868,16460,16500,0
61,v5,808,800.72,0.5889473011963774,15848,16293,65592,1
61,v6,98,0,0.5889473011963774,3789,2968,4002,1
61,v7,779,548.24,0.8001862128224093,32073,16508,32813,1
61,v8,810,546.74,0.8001862128224093,31985,16271,32768,1
61,v9,398,0,30,8041,16430,16360,0
61,v10,94,0,0.40726022832146597,4124,2782,3994,1
61,v11,808,506.68,0.5889473011963774,31908,16389,32762,1
61,v12,392,0,0.8001862128224093,8177,16379,16432,0
61,v13,101,0,0.24869658228624147,4212,2916,4277,1
61,v14,102,0,0.5889473011963774,4012,3160,4157,1
61,v15,395,0,0.5889473011963774,8124,16375,16216,1
61,v16,390,0,30,7994,16342,16397,0
61,v17,409,402.78,0.40726022832146597,7878,16345,16370,1
61,v18,102,0,0.40726022832146597,3784,3058,3825,1
61,v19,799,799.0,0.5889473011963774,15954,16274,65451,1
61,v20,799,0,0.45945167679927446,15835,16531,65486,0
61,v21,105,74.17,0.598596182478768,4009,3054,4241,1
61,v22,808,517.78,0.40726022832146597,31919,16404,32781,1
61,v23,94,0,0.40726022832146597,4093,3233,4118,1
61,v24,112,0,30,4088,3163,4106,1
61,v25,99,0,0.24869658228624147,4064,3173,4059,1
