time-step,number of users,number of winners,prices
1,100,70,147.32136164896943
61,100,73,1315.1385069859077
121,100,72,811.767356237801
181,100,71,1033.4546696099376
241,99,78,1034.5794749904396
301,97,77,1462.4615081510449
361,92,76,1503.6105810492484
421,74,61,1629.5065453187553
481,67,56,1533.041828871262
541,61,63,1681.1173258583322
601,48,48,697.7248320768074
661,39,32,684.4643096680885
721,32,28,658.5022438210981
781,21,21,291.4478552284644
841,13,13,141.5142279225854
901,10,9,255.2496767894084
961,3,3,0
