time-step,number of users,exec time,pricing time,two-phases time
1,32,1.6804687976837158,93.76248264312744,"[0.015496253967285156, 1.6645441055297852]"
61,49,3.1627800464630127,388.8096754550934,"[0.036047935485839844, 3.1262614727020264]"
121,69,6.853588342666626,542.151177406311,"[0.032579660415649414, 6.82051944732666]"
181,91,8.669281244277954,1020.13645195961,"[0.04115581512451172, 8.62762713432312]"
241,100,11.296115159988403,1016.9394574165344,"[0.031381845474243164, 11.264256954193115]"
301,98,11.368368864059448,1549.3309936523438,"[0.03687262535095215, 11.331047058105469]"
361,91,10.23778223991394,839.875241279602,"[0.035637855529785156, 10.201705932617188]"
421,80,8.185407638549805,655.5814571380615,"[0.02787041664123535, 8.157066822052002]"
481,74,12.021411657333374,991.9228808879852,"[0.06806731224060059, 11.95251202583313]"
541,61,5.978517293930054,216.58176231384277,"[0.015571832656860352, 5.962542533874512]"
601,45,3.9533731937408447,119.26799869537354,"[0.012010574340820312, 3.941007375717163]"
661,40,3.6108951568603516,85.30024123191833,"[0.009977102279663086, 3.6005587577819824]"
721,30,2.002105951309204,28.575772285461426,"[0.005798816680908203, 1.9959561824798584]"
781,12,0.4811840057373047,15.991345405578613,"[0.009090900421142578, 0.4717395305633545]"
841,3,0.12430787086486816,0.372699499130249,"[0.0013527870178222656, 0.12260818481445312]"
