time-step,number of winners,result list
1,27,"[('v6', 'gp1', 'c3'), ('v10', 'gp1', 'c10'), ('v13', 'gp1', 'c45'), ('v14', 'gp1', 'c3'), ('v18', 'gp1', 'c10'), ('v21', 'gp1', 'c0'), ('v23', 'gp1', 'c10'), ('v35', 'gp1', 'c3'), ('v2', 'gp2', 'c10'), ('v4', 'gp2', 'c45'), ('v9', 'gp2', 'c45'), ('v12', 'gp2', 'c45'), ('v15', 'gp2', 'c3'), ('v17', 'gp2', 'c10'), ('v27', 'gp2', 'c0'), ('v43', 'gp2', 'c45'), ('v76', 'gp2', 'c3'), ('v3', 'ramIntensive', 'c10'), ('v5', 'ramIntensive', 'c50'), ('v19', 'ramIntensive', 'c50'), ('v20', 'ramIntensive', 'c0'), ('v95', 'ramIntensive', 'c0'), ('v7', 'cpuIntensive', 'c45'), ('v8', 'cpuIntensive', 'c45'), ('v11', 'cpuIntensive', 'c50'), ('v22', 'cpuIntensive', 'c10'), ('v62', 'cpuIntensive', 'c0')]"
61,42,"[('v14', 'gp1', 'c3'), ('v0', 'gp1', 'c21'), ('v6', 'gp1', 'c3'), ('v10', 'gp1', 'c9'), ('v13', 'gp1', 'c21'), ('v18', 'gp1', 'c9'), ('v21', 'gp1', 'c0'), ('v23', 'gp1', 'c10'), ('v24', 'gp1', 'c21'), ('v25', 'gp1', 'c21'), ('v69', 'gp1', 'c30'), ('v46', 'gp1', 'c25'), ('v4', 'gp2', 'c21'), ('v15', 'gp2', 'c3'), ('v2', 'gp2', 'c9'), ('v17', 'gp2', 'c9'), ('v27', 'gp2', 'c0'), ('v43', 'gp2', 'c34'), ('v83', 'gp2', 'c30'), ('v26', 'gp2', 'c30'), ('v72', 'gp2', 'c30'), ('v78', 'gp2', 'c9'), ('v1', 'ramIntensive', 'c21'), ('v3', 'ramIntensive', 'c9'), ('v5', 'ramIntensive', 'c3'), ('v19', 'ramIntensive', 'c30'), ('v20', 'ramIntensive', 'c0'), ('v95', 'ramIntensive', 'c0'), ('v30', 'ramIntensive', 'c3'), ('v90', 'ramIntensive', 'c21'), ('v98', 'ramIntensive', 'c9'), ('v92', 'ramIntensive', 'c25'), ('v7', 'cpuIntensive', 'c21'), ('v8', 'cpuIntensive', 'c21'), ('v22', 'cpuIntensive', 'c9'), ('v62', 'cpuIntensive', 'c0'), ('v40', 'cpuIntensive', 'c0'), ('v44', 'cpuIntensive', 'c0'), ('v73', 'cpuIntensive', 'c21'), ('v54', 'cpuIntensive', 'c9'), ('v89', 'cpuIntensive', 'c21'), ('v33', 'cpuIntensive', 'c5')]"
121,51,"[('v10', 'gp1', 'c46'), ('v23', 'gp1', 'c46'), ('v0', 'gp1', 'c21'), ('v6', 'gp1', 'c26'), ('v13', 'gp1', 'c21'), ('v18', 'gp1', 'c46'), ('v21', 'gp1', 'c37'), ('v24', 'gp1', 'c34'), ('v25', 'gp1', 'c21'), ('v69', 'gp1', 'c26'), ('v46', 'gp1', 'c26'), ('v68', 'gp1', 'c37'), ('v48', 'gp1', 'c10'), ('v59', 'gp1', 'c10'), ('v75', 'gp1', 'c3'), ('v16', 'gp2', 'c34'), ('v27', 'gp2', 'c37'), ('v78', 'gp2', 'c46'), ('v2', 'gp2', 'c46'), ('v17', 'gp2', 'c46'), ('v43', 'gp2', 'c21'), ('v42', 'gp2', 'c10'), ('v51', 'gp2', 'c3'), ('v74', 'gp2', 'c3'), ('v88', 'gp2', 'c3'), ('v82', 'gp2', 'c40'), ('v98', 'ramIntensive', 'c46'), ('v1', 'ramIntensive', 'c34'), ('v3', 'ramIntensive', 'c46'), ('v5', 'ramIntensive', 'c26'), ('v19', 'ramIntensive', 'c26'), ('v20', 'ramIntensive', 'c37'), ('v30', 'ramIntensive', 'c26'), ('v90', 'ramIntensive', 'c3'), ('v56', 'ramIntensive', 'c48'), ('v67', 'ramIntensive', 'c26'), ('v57', 'ramIntensive', 'c10'), ('v99', 'ramIntensive', 'c3'), ('v7', 'cpuIntensive', 'c21'), ('v8', 'cpuIntensive', 'c21'), ('v22', 'cpuIntensive', 'c46'), ('v62', 'cpuIntensive', 'c37'), ('v40', 'cpuIntensive', 'c37'), ('v44', 'cpuIntensive', 'c37'), ('v73', 'cpuIntensive', 'c21'), ('v89', 'cpuIntensive', 'c3'), ('v33', 'cpuIntensive', 'c26'), ('v28', 'cpuIntensive', 'c48'), ('v64', 'cpuIntensive', 'c48'), ('v84', 'cpuIntensive', 'c48'), ('v93', 'cpuIntensive', 'c48')]"
181,61,"[('v14', 'gp1', 'c1'), ('v0', 'gp1', 'c3'), ('v6', 'gp1', 'c18'), ('v10', 'gp1', 'c17'), ('v13', 'gp1', 'c3'), ('v18', 'gp1', 'c17'), ('v21', 'gp1', 'c39'), ('v23', 'gp1', 'c17'), ('v24', 'gp1', 'c3'), ('v25', 'gp1', 'c3'), ('v69', 'gp1', 'c1'), ('v46', 'gp1', 'c18'), ('v68', 'gp1', 'c39'), ('v48', 'gp1', 'c10'), ('v59', 'gp1', 'c10'), ('v75', 'gp1', 'c50'), ('v41', 'gp1', 'c39'), ('v55', 'gp1', 'c39'), ('v77', 'gp1', 'c39'), ('v79', 'gp1', 'c17'), ('v60', 'gp1', 'c39'), ('v37', 'gp1', 'c3'), ('v71', 'gp1', 'c3'), ('v70', 'gp1', 'c17'), ('v27', 'gp2', 'c12'), ('v17', 'gp2', 'c17'), ('v42', 'gp2', 'c10'), ('v58', 'gp2', 'c39'), ('v98', 'ramIntensive', 'c17'), ('v92', 'ramIntensive', 'c1'), ('v3', 'ramIntensive', 'c17'), ('v5', 'ramIntensive', 'c1'), ('v19', 'ramIntensive', 'c1'), ('v30', 'ramIntensive', 'c18'), ('v67', 'ramIntensive', 'c1'), ('v57', 'ramIntensive', 'c10'), ('v99', 'ramIntensive', 'c50'), ('v47', 'ramIntensive', 'c50'), ('v53', 'ramIntensive', 'c10'), ('v36', 'ramIntensive', 'c30'), ('v80', 'ramIntensive', 'c30'), ('v11', 'cpuIntensive', 'c1'), ('v28', 'cpuIntensive', 'c39'), ('v64', 'cpuIntensive', 'c12'), ('v7', 'cpuIntensive', 'c3'), ('v8', 'cpuIntensive', 'c3'), ('v22', 'cpuIntensive', 'c17'), ('v62', 'cpuIntensive', 'c12'), ('v40', 'cpuIntensive', 'c12'), ('v44', 'cpuIntensive', 'c39'), ('v73', 'cpuIntensive', 'c3'), ('v54', 'cpuIntensive', 'c17'), ('v89', 'cpuIntensive', 'c3'), ('v33', 'cpuIntensive', 'c18'), ('v93', 'cpuIntensive', 'c12'), ('v91', 'cpuIntensive', 'c10'), ('v34', 'cpuIntensive', 'c10'), ('v52', 'cpuIntensive', 'c12'), ('v45', 'cpuIntensive', 'c3'), ('v31', 'cpuIntensive', 'c12'), ('v96', 'cpuIntensive', 'c5')]"
241,61,"[('v0', 'gp1', 'c25'), ('v37', 'gp1', 'c26'), ('v71', 'gp1', 'c26'), ('v6', 'gp1', 'c29'), ('v10', 'gp1', 'c26'), ('v14', 'gp1', 'c29'), ('v18', 'gp1', 'c26'), ('v21', 'gp1', 'c28'), ('v23', 'gp1', 'c26'), ('v25', 'gp1', 'c5'), ('v35', 'gp1', 'c29'), ('v69', 'gp1', 'c29'), ('v46', 'gp1', 'c29'), ('v68', 'gp1', 'c28'), ('v48', 'gp1', 'c26'), ('v59', 'gp1', 'c26'), ('v75', 'gp1', 'c5'), ('v41', 'gp1', 'c28'), ('v55', 'gp1', 'c28'), ('v77', 'gp1', 'c28'), ('v79', 'gp1', 'c26'), ('v60', 'gp1', 'c28'), ('v70', 'gp1', 'c26'), ('v50', 'gp1', 'c28'), ('v86', 'gp1', 'c28'), ('v38', 'gp1', 'c5'), ('v39', 'gp1', 'c5'), ('v15', 'gp2', 'c29'), ('v9', 'gp2', 'c25'), ('v17', 'gp2', 'c26'), ('v43', 'gp2', 'c25'), ('v76', 'gp2', 'c35'), ('v85', 'gp2', 'c25'), ('v51', 'gp2', 'c5'), ('v74', 'gp2', 'c5'), ('v30', 'ramIntensive', 'c29'), ('v92', 'ramIntensive', 'c29'), ('v3', 'ramIntensive', 'c26'), ('v5', 'ramIntensive', 'c35'), ('v19', 'ramIntensive', 'c29'), ('v90', 'ramIntensive', 'c25'), ('v67', 'ramIntensive', 'c35'), ('v63', 'ramIntensive', 'c5'), ('v45', 'cpuIntensive', 'c26'), ('v7', 'cpuIntensive', 'c5'), ('v8', 'cpuIntensive', 'c5'), ('v11', 'cpuIntensive', 'c29'), ('v22', 'cpuIntensive', 'c26'), ('v40', 'cpuIntensive', 'c28'), ('v73', 'cpuIntensive', 'c5'), ('v54', 'cpuIntensive', 'c26'), ('v89', 'cpuIntensive', 'c5'), ('v33', 'cpuIntensive', 'c29'), ('v84', 'cpuIntensive', 'c28'), ('v93', 'cpuIntensive', 'c28'), ('v91', 'cpuIntensive', 'c26'), ('v34', 'cpuIntensive', 'c26'), ('v52', 'cpuIntensive', 'c28'), ('v31', 'cpuIntensive', 'c28'), ('v96', 'cpuIntensive', 'c5'), ('v66', 'cpuIntensive', 'c28')]"
301,66,"[('v0', 'gp1', 'c16'), ('v13', 'gp1', 'c25'), ('v24', 'gp1', 'c16'), ('v48', 'gp1', 'c25'), ('v59', 'gp1', 'c25'), ('v37', 'gp1', 'c25'), ('v6', 'gp1', 'c43'), ('v10', 'gp1', 'c5'), ('v14', 'gp1', 'c43'), ('v18', 'gp1', 'c5'), ('v23', 'gp1', 'c5'), ('v25', 'gp1', 'c16'), ('v35', 'gp1', 'c43'), ('v69', 'gp1', 'c43'), ('v75', 'gp1', 'c16'), ('v79', 'gp1', 'c5'), ('v71', 'gp1', 'c25'), ('v70', 'gp1', 'c5'), ('v38', 'gp1', 'c38'), ('v39', 'gp1', 'c25'), ('v16', 'gp2', 'c26'), ('v42', 'gp2', 'c5'), ('v2', 'gp2', 'c30'), ('v4', 'gp2', 'c26'), ('v9', 'gp2', 'c26'), ('v12', 'gp2', 'c16'), ('v17', 'gp2', 'c30'), ('v43', 'gp2', 'c26'), ('v76', 'gp2', 'c43'), ('v83', 'gp2', 'c43'), ('v85', 'gp2', 'c26'), ('v78', 'gp2', 'c30'), ('v51', 'gp2', 'c16'), ('v74', 'gp2', 'c16'), ('v57', 'ramIntensive', 'c5'), ('v3', 'ramIntensive', 'c30'), ('v5', 'ramIntensive', 'c43'), ('v19', 'ramIntensive', 'c43'), ('v90', 'ramIntensive', 'c16'), ('v98', 'ramIntensive', 'c5'), ('v67', 'ramIntensive', 'c43'), ('v99', 'ramIntensive', 'c16'), ('v53', 'ramIntensive', 'c5'), ('v44', 'cpuIntensive', 'c28'), ('v64', 'cpuIntensive', 'c28'), ('v91', 'cpuIntensive', 'c25'), ('v34', 'cpuIntensive', 'c25'), ('v31', 'cpuIntensive', 'c28'), ('v65', 'cpuIntensive', 'c28'), ('v7', 'cpuIntensive', 'c16'), ('v8', 'cpuIntensive', 'c25'), ('v11', 'cpuIntensive', 'c43'), ('v22', 'cpuIntensive', 'c5'), ('v62', 'cpuIntensive', 'c50'), ('v40', 'cpuIntensive', 'c50'), ('v73', 'cpuIntensive', 'c25'), ('v54', 'cpuIntensive', 'c5'), ('v89', 'cpuIntensive', 'c16'), ('v33', 'cpuIntensive', 'c43'), ('v84', 'cpuIntensive', 'c50'), ('v93', 'cpuIntensive', 'c28'), ('v52', 'cpuIntensive', 'c28'), ('v45', 'cpuIntensive', 'c25'), ('v96', 'cpuIntensive', 'c25'), ('v66', 'cpuIntensive', 'c28'), ('v61', 'cpuIntensive', 'c50')]"
361,53,"[('v48', 'gp1', 'c3'), ('v6', 'gp1', 'c2'), ('v10', 'gp1', 'c3'), ('v14', 'gp1', 'c2'), ('v18', 'gp1', 'c3'), ('v23', 'gp1', 'c3'), ('v24', 'gp1', 'c38'), ('v69', 'gp1', 'c2'), ('v59', 'gp1', 'c30'), ('v79', 'gp1', 'c3'), ('v37', 'gp1', 'c43'), ('v71', 'gp1', 'c43'), ('v70', 'gp1', 'c3'), ('v38', 'gp1', 'c43'), ('v39', 'gp1', 'c43'), ('v78', 'gp2', 'c30'), ('v9', 'gp2', 'c38'), ('v15', 'gp2', 'c2'), ('v17', 'gp2', 'c3'), ('v76', 'gp2', 'c2'), ('v85', 'gp2', 'c38'), ('v26', 'gp2', 'c2'), ('v32', 'gp2', 'c2'), ('v3', 'ramIntensive', 'c3'), ('v53', 'ramIntensive', 'c3'), ('v1', 'ramIntensive', 'c38'), ('v5', 'ramIntensive', 'c2'), ('v19', 'ramIntensive', 'c2'), ('v90', 'ramIntensive', 'c38'), ('v98', 'ramIntensive', 'c30'), ('v92', 'ramIntensive', 'c2'), ('v57', 'ramIntensive', 'c30'), ('v47', 'ramIntensive', 'c43'), ('v36', 'ramIntensive', 'c43'), ('v63', 'ramIntensive', 'c43'), ('v44', 'cpuIntensive', 'c50'), ('v28', 'cpuIntensive', 'c50'), ('v7', 'cpuIntensive', 'c38'), ('v8', 'cpuIntensive', 'c38'), ('v11', 'cpuIntensive', 'c2'), ('v22', 'cpuIntensive', 'c3'), ('v40', 'cpuIntensive', 'c50'), ('v73', 'cpuIntensive', 'c38'), ('v54', 'cpuIntensive', 'c3'), ('v89', 'cpuIntensive', 'c38'), ('v84', 'cpuIntensive', 'c50'), ('v93', 'cpuIntensive', 'c50'), ('v91', 'cpuIntensive', 'c3'), ('v34', 'cpuIntensive', 'c3'), ('v52', 'cpuIntensive', 'c50'), ('v45', 'cpuIntensive', 'c43'), ('v96', 'cpuIntensive', 'c43'), ('v65', 'cpuIntensive', 'c50')]"
421,53,"[('v18', 'gp1', 'c32'), ('v23', 'gp1', 'c32'), ('v0', 'gp1', 'c24'), ('v10', 'gp1', 'c32'), ('v13', 'gp1', 'c43'), ('v24', 'gp1', 'c43'), ('v25', 'gp1', 'c43'), ('v48', 'gp1', 'c28'), ('v59', 'gp1', 'c28'), ('v79', 'gp1', 'c28'), ('v37', 'gp1', 'c36'), ('v71', 'gp1', 'c36'), ('v70', 'gp1', 'c28'), ('v38', 'gp1', 'c36'), ('v39', 'gp1', 'c36'), ('v4', 'gp2', 'c43'), ('v2', 'gp2', 'c32'), ('v9', 'gp2', 'c43'), ('v12', 'gp2', 'c43'), ('v43', 'gp2', 'c43'), ('v85', 'gp2', 'c24'), ('v78', 'gp2', 'c32'), ('v42', 'gp2', 'c28'), ('v51', 'gp2', 'c36'), ('v74', 'gp2', 'c36'), ('v1', 'ramIntensive', 'c24'), ('v3', 'ramIntensive', 'c32'), ('v90', 'ramIntensive', 'c24'), ('v98', 'ramIntensive', 'c32'), ('v57', 'ramIntensive', 'c28'), ('v53', 'ramIntensive', 'c28'), ('v80', 'ramIntensive', 'c36'), ('v63', 'ramIntensive', 'c36'), ('v44', 'cpuIntensive', 'c14'), ('v28', 'cpuIntensive', 'c14'), ('v64', 'cpuIntensive', 'c50'), ('v31', 'cpuIntensive', 'c50'), ('v65', 'cpuIntensive', 'c50'), ('v7', 'cpuIntensive', 'c24'), ('v8', 'cpuIntensive', 'c24'), ('v62', 'cpuIntensive', 'c50'), ('v40', 'cpuIntensive', 'c14'), ('v73', 'cpuIntensive', 'c24'), ('v89', 'cpuIntensive', 'c24'), ('v84', 'cpuIntensive', 'c14'), ('v93', 'cpuIntensive', 'c14'), ('v91', 'cpuIntensive', 'c28'), ('v34', 'cpuIntensive', 'c28'), ('v52', 'cpuIntensive', 'c14'), ('v45', 'cpuIntensive', 'c36'), ('v96', 'cpuIntensive', 'c36'), ('v66', 'cpuIntensive', 'c14'), ('v61', 'cpuIntensive', 'c50')]"
481,65,"[('v18', 'gp1', 'c39'), ('v0', 'gp1', 'c44'), ('v10', 'gp1', 'c12'), ('v13', 'gp1', 'c44'), ('v21', 'gp1', 'c7'), ('v24', 'gp1', 'c44'), ('v25', 'gp1', 'c44'), ('v68', 'gp1', 'c14'), ('v48', 'gp1', 'c39'), ('v59', 'gp1', 'c12'), ('v75', 'gp1', 'c37'), ('v41', 'gp1', 'c22'), ('v55', 'gp1', 'c14'), ('v77', 'gp1', 'c14'), ('v79', 'gp1', 'c39'), ('v60', 'gp1', 'c14'), ('v37', 'gp1', 'c37'), ('v71', 'gp1', 'c37'), ('v70', 'gp1', 'c39'), ('v50', 'gp1', 'c22'), ('v86', 'gp1', 'c14'), ('v39', 'gp1', 'c37'), ('v4', 'gp2', 'c44'), ('v78', 'gp2', 'c12'), ('v82', 'gp2', 'c14'), ('v2', 'gp2', 'c39'), ('v9', 'gp2', 'c44'), ('v12', 'gp2', 'c44'), ('v16', 'gp2', 'c44'), ('v85', 'gp2', 'c23'), ('v51', 'gp2', 'c37'), ('v74', 'gp2', 'c37'), ('v58', 'gp2', 'c22'), ('v98', 'ramIntensive', 'c39'), ('v97', 'ramIntensive', 'c22'), ('v1', 'ramIntensive', 'c44'), ('v3', 'ramIntensive', 'c12'), ('v20', 'ramIntensive', 'c7'), ('v95', 'ramIntensive', 'c7'), ('v56', 'ramIntensive', 'c14'), ('v57', 'ramIntensive', 'c39'), ('v99', 'ramIntensive', 'c37'), ('v53', 'ramIntensive', 'c12'), ('v63', 'ramIntensive', 'c37'), ('v22', 'cpuIntensive', 'c39'), ('v54', 'cpuIntensive', 'c39'), ('v64', 'cpuIntensive', 'c14'), ('v7', 'cpuIntensive', 'c44'), ('v8', 'cpuIntensive', 'c44'), ('v62', 'cpuIntensive', 'c7'), ('v40', 'cpuIntensive', 'c7'), ('v44', 'cpuIntensive', 'c7'), ('v73', 'cpuIntensive', 'c23'), ('v89', 'cpuIntensive', 'c37'), ('v28', 'cpuIntensive', 'c14'), ('v84', 'cpuIntensive', 'c22'), ('v93', 'cpuIntensive', 'c14'), ('v91', 'cpuIntensive', 'c12'), ('v34', 'cpuIntensive', 'c12'), ('v52', 'cpuIntensive', 'c14'), ('v45', 'cpuIntensive', 'c37'), ('v96', 'cpuIntensive', 'c37'), ('v66', 'cpuIntensive', 'c14'), ('v61', 'cpuIntensive', 'c7'), ('v65', 'cpuIntensive', 'c7')]"
541,34,"[('v0', 'gp1', 'c48'), ('v10', 'gp1', 'c37'), ('v13', 'gp1', 'c48'), ('v18', 'gp1', 'c37'), ('v23', 'gp1', 'c37'), ('v24', 'gp1', 'c48'), ('v25', 'gp1', 'c48'), ('v48', 'gp1', 'c37'), ('v59', 'gp1', 'c37'), ('v75', 'gp1', 'c0'), ('v79', 'gp1', 'c37'), ('v71', 'gp1', 'c8'), ('v70', 'gp1', 'c37'), ('v2', 'gp2', 'c37'), ('v4', 'gp2', 'c48'), ('v9', 'gp2', 'c48'), ('v12', 'gp2', 'c48'), ('v16', 'gp2', 'c48'), ('v17', 'gp2', 'c37'), ('v1', 'ramIntensive', 'c48'), ('v3', 'ramIntensive', 'c37'), ('v53', 'ramIntensive', 'c37'), ('v7', 'cpuIntensive', 'c48'), ('v8', 'cpuIntensive', 'c48'), ('v22', 'cpuIntensive', 'c37'), ('v62', 'cpuIntensive', 'c41'), ('v40', 'cpuIntensive', 'c41'), ('v84', 'cpuIntensive', 'c41'), ('v93', 'cpuIntensive', 'c41'), ('v91', 'cpuIntensive', 'c37'), ('v34', 'cpuIntensive', 'c37'), ('v52', 'cpuIntensive', 'c41'), ('v66', 'cpuIntensive', 'c41'), ('v61', 'cpuIntensive', 'c41')]"
