time-step,number of winners,result list
1,28,"[('v4', 'c91'), ('v10', 'c96'), ('v13', 'c96'), ('v14', 'c91'), ('v18', 'c34'), ('v21', 'c100'), ('v23', 'c34'), ('v24', 'c96'), ('v25', 'c96'), ('v2', 'c34'), ('v9', 'c96'), ('v12', 'c52'), ('v15', 'c52'), ('v16', 'c96'), ('v17', 'c34'), ('v43', 'c96'), ('v3', 'c96'), ('v8', 'c25'), ('v11', 'c25'), ('v19', 'c91'), ('v20', 'c100'), ('v0', 'c25'), ('v1', 'c96'), ('v5', 'c96'), ('v7', 'c25'), ('v22', 'c34'), ('v62', 'c25'), ('v80', 'c34')]"
61,37,"[('v4', 'c91'), ('v10', 'c42'), ('v13', 'c42'), ('v14', 'c91'), ('v18', 'c37'), ('v21', 'c25'), ('v23', 'c37'), ('v24', 'c42'), ('v25', 'c42'), ('v35', 'c91'), ('v37', 'c42'), ('v2', 'c37'), ('v12', 'c91'), ('v15', 'c91'), ('v17', 'c37'), ('v82', 'c42'), ('v89', 'c37'), ('v91', 'c42'), ('v6', 'c25'), ('v8', 'c25'), ('v11', 'c25'), ('v19', 'c91'), ('v20', 'c100'), ('v75', 'c37'), ('v47', 'c42'), ('v84', 'c37'), ('v0', 'c25'), ('v1', 'c42'), ('v5', 'c42'), ('v7', 'c25'), ('v22', 'c37'), ('v62', 'c25'), ('v80', 'c37'), ('v99', 'c91'), ('v95', 'c42'), ('v54', 'c42'), ('v81', 'c42')]"
121,59,"[('v4', 'c4'), ('v10', 'c17'), ('v13', 'c17'), ('v14', 'c51'), ('v18', 'c69'), ('v21', 'c102'), ('v23', 'c69'), ('v24', 'c17'), ('v25', 'c17'), ('v35', 'c4'), ('v37', 'c17'), ('v48', 'c69'), ('v59', 'c69'), ('v69', 'c4'), ('v71', 'c69'), ('v38', 'c17'), ('v39', 'c17'), ('v94', 'c102'), ('v68', 'c19'), ('v85', 'c22'), ('v15', 'c51'), ('v89', 'c88'), ('v26', 'c22'), ('v12', 'c4'), ('v17', 'c69'), ('v76', 'c17'), ('v19', 'c51'), ('v84', 'c88'), ('v30', 'c4'), ('v83', 'c51'), ('v8', 'c102'), ('v11', 'c102'), ('v20', 'c102'), ('v75', 'c69'), ('v47', 'c17'), ('v57', 'c69'), ('v67', 'c4'), ('v88', 'c69'), ('v93', 'c22'), ('v53', 'c14'), ('v0', 'c102'), ('v1', 'c17'), ('v5', 'c17'), ('v7', 'c102'), ('v22', 'c69'), ('v62', 'c102'), ('v80', 'c69'), ('v99', 'c4'), ('v95', 'c17'), ('v54', 'c17'), ('v81', 'c17'), ('v40', 'c19'), ('v98', 'c4'), ('v33', 'c4'), ('v74', 'c22'), ('v34', 'c14'), ('v52', 'c14'), ('v28', 'c19'), ('v64', 'c19')]"
181,59,"[('v10', 'c82'), ('v69', 'c2'), ('v4', 'c2'), ('v13', 'c80'), ('v14', 'c2'), ('v18', 'c14'), ('v23', 'c14'), ('v24', 'c80'), ('v25', 'c80'), ('v35', 'c2'), ('v37', 'c80'), ('v48', 'c14'), ('v59', 'c14'), ('v71', 'c14'), ('v38', 'c82'), ('v39', 'c82'), ('v85', 'c2'), ('v46', 'c58'), ('v55', 'c71'), ('v70', 'c14'), ('v9', 'c80'), ('v15', 'c58'), ('v12', 'c2'), ('v16', 'c80'), ('v17', 'c14'), ('v43', 'c80'), ('v91', 'c80'), ('v76', 'c82'), ('v51', 'c82'), ('v29', 'c71'), ('v3', 'c80'), ('v19', 'c58'), ('v67', 'c2'), ('v75', 'c14'), ('v47', 'c80'), ('v36', 'c82'), ('v83', 'c2'), ('v63', 'c82'), ('v93', 'c58'), ('v1', 'c82'), ('v0', 'c35'), ('v7', 'c35'), ('v22', 'c14'), ('v62', 'c64'), ('v80', 'c14'), ('v99', 'c2'), ('v95', 'c82'), ('v54', 'c82'), ('v81', 'c80'), ('v40', 'c35'), ('v98', 'c2'), ('v33', 'c2'), ('v74', 'c2'), ('v34', 'c14'), ('v52', 'c14'), ('v28', 'c64'), ('v64', 'c64'), ('v79', 'c14'), ('v45', 'c35')]"
241,78,"[('v10', 'c21'), ('v18', 'c40'), ('v23', 'c40'), ('v4', 'c73'), ('v13', 'c21'), ('v14', 'c73'), ('v21', 'c71'), ('v24', 'c21'), ('v25', 'c21'), ('v35', 'c73'), ('v37', 'c90'), ('v48', 'c18'), ('v59', 'c18'), ('v69', 'c73'), ('v38', 'c90'), ('v39', 'c21'), ('v94', 'c30'), ('v68', 'c30'), ('v85', 'c73'), ('v46', 'c73'), ('v41', 'c30'), ('v55', 'c30'), ('v70', 'c18'), ('v60', 'c30'), ('v50', 'c41'), ('v2', 'c59'), ('v17', 'c59'), ('v43', 'c90'), ('v91', 'c21'), ('v42', 'c40'), ('v89', 'c18'), ('v76', 'c21'), ('v51', 'c90'), ('v77', 'c40'), ('v78', 'c73'), ('v90', 'c18'), ('v58', 'c30'), ('v3', 'c90'), ('v36', 'c90'), ('v84', 'c40'), ('v57', 'c18'), ('v88', 'c40'), ('v8', 'c71'), ('v11', 'c71'), ('v20', 'c71'), ('v73', 'c85'), ('v92', 'c85'), ('v75', 'c18'), ('v47', 'c21'), ('v67', 'c73'), ('v63', 'c21'), ('v93', 'c73'), ('v53', 'c59'), ('v1', 'c21'), ('v22', 'c18'), ('v0', 'c31'), ('v7', 'c31'), ('v62', 'c31'), ('v80', 'c18'), ('v99', 'c73'), ('v95', 'c21'), ('v54', 'c21'), ('v81', 'c90'), ('v40', 'c30'), ('v98', 'c73'), ('v33', 'c73'), ('v74', 'c73'), ('v34', 'c18'), ('v52', 'c18'), ('v28', 'c30'), ('v64', 'c30'), ('v79', 'c40'), ('v45', 'c30'), ('v87', 'c30'), ('v31', 'c30'), ('v66', 'c41'), ('v61', 'c41'), ('v65', 'c41')]"
301,54,"[('v4', 'c55'), ('v13', 'c83'), ('v21', 'c41'), ('v24', 'c83'), ('v25', 'c83'), ('v37', 'c83'), ('v48', 'c46'), ('v59', 'c46'), ('v69', 'c55'), ('v71', 'c46'), ('v38', 'c83'), ('v39', 'c83'), ('v94', 'c41'), ('v85', 'c55'), ('v46', 'c55'), ('v70', 'c46'), ('v76', 'c83'), ('v51', 'c83'), ('v77', 'c46'), ('v78', 'c55'), ('v90', 'c46'), ('v8', 'c41'), ('v11', 'c41'), ('v20', 'c41'), ('v75', 'c46'), ('v47', 'c83'), ('v67', 'c55'), ('v63', 'c83'), ('v93', 'c55'), ('v53', 'c46'), ('v28', 'c20'), ('v64', 'c6'), ('v45', 'c6'), ('v0', 'c6'), ('v7', 'c6'), ('v62', 'c41'), ('v80', 'c46'), ('v99', 'c55'), ('v95', 'c83'), ('v54', 'c83'), ('v81', 'c83'), ('v40', 'c20'), ('v98', 'c55'), ('v33', 'c55'), ('v74', 'c55'), ('v34', 'c46'), ('v52', 'c46'), ('v79', 'c46'), ('v87', 'c6'), ('v31', 'c20'), ('v66', 'c20'), ('v61', 'c6'), ('v65', 'c20'), ('v44', 'c6')]"
361,66,"[('v14', 'c81'), ('v18', 'c93'), ('v23', 'c33'), ('v4', 'c81'), ('v10', 'c12'), ('v13', 'c12'), ('v21', 'c61'), ('v24', 'c12'), ('v25', 'c12'), ('v37', 'c12'), ('v48', 'c93'), ('v59', 'c33'), ('v69', 'c81'), ('v71', 'c33'), ('v38', 'c12'), ('v39', 'c12'), ('v94', 'c61'), ('v68', 'c61'), ('v85', 'c15'), ('v46', 'c81'), ('v70', 'c33'), ('v2', 'c93'), ('v17', 'c33'), ('v27', 'c61'), ('v89', 'c95'), ('v42', 'c95'), ('v76', 'c12'), ('v51', 'c23'), ('v77', 'c93'), ('v78', 'c81'), ('v90', 'c33'), ('v84', 'c93'), ('v53', 'c33'), ('v8', 'c61'), ('v20', 'c61'), ('v75', 'c95'), ('v47', 'c12'), ('v57', 'c93'), ('v67', 'c81'), ('v88', 'c33'), ('v93', 'c81'), ('v22', 'c33'), ('v0', 'c61'), ('v1', 'c12'), ('v5', 'c12'), ('v7', 'c61'), ('v62', 'c61'), ('v80', 'c33'), ('v99', 'c81'), ('v95', 'c12'), ('v54', 'c12'), ('v81', 'c12'), ('v40', 'c61'), ('v98', 'c81'), ('v33', 'c81'), ('v74', 'c81'), ('v34', 'c33'), ('v52', 'c93'), ('v79', 'c93'), ('v45', 'c26'), ('v87', 'c26'), ('v31', 'c26'), ('v66', 'c26'), ('v61', 'c26'), ('v65', 'c26'), ('v44', 'c26')]"
421,54,"[('v4', 'c3'), ('v10', 'c99'), ('v13', 'c99'), ('v14', 'c3'), ('v18', 'c16'), ('v23', 'c16'), ('v24', 'c99'), ('v25', 'c99'), ('v35', 'c3'), ('v37', 'c99'), ('v48', 'c11'), ('v59', 'c11'), ('v69', 'c3'), ('v71', 'c16'), ('v38', 'c99'), ('v39', 'c99'), ('v85', 'c3'), ('v46', 'c3'), ('v70', 'c16'), ('v17', 'c16'), ('v42', 'c11'), ('v76', 'c99'), ('v77', 'c93'), ('v78', 'c3'), ('v73', 'c84'), ('v75', 'c16'), ('v47', 'c84'), ('v36', 'c84'), ('v57', 'c11'), ('v67', 'c3'), ('v63', 'c99'), ('v88', 'c93'), ('v93', 'c3'), ('v1', 'c99'), ('v5', 'c99'), ('v7', 'c80'), ('v22', 'c16'), ('v62', 'c80'), ('v80', 'c16'), ('v99', 'c3'), ('v95', 'c84'), ('v54', 'c84'), ('v81', 'c84'), ('v40', 'c80'), ('v98', 'c3'), ('v33', 'c3'), ('v74', 'c3'), ('v34', 'c16'), ('v52', 'c16'), ('v79', 'c16'), ('v87', 'c80'), ('v66', 'c80'), ('v61', 'c80'), ('v65', 'c80')]"
481,55,"[('v14', 'c8'), ('v18', 'c11'), ('v23', 'c50'), ('v35', 'c57'), ('v4', 'c57'), ('v10', 'c84'), ('v13', 'c92'), ('v24', 'c92'), ('v25', 'c84'), ('v37', 'c84'), ('v48', 'c11'), ('v59', 'c11'), ('v69', 'c8'), ('v71', 'c50'), ('v38', 'c92'), ('v39', 'c92'), ('v85', 'c8'), ('v46', 'c8'), ('v70', 'c11'), ('v9', 'c84'), ('v26', 'c8'), ('v76', 'c92'), ('v78', 'c57'), ('v3', 'c84'), ('v19', 'c8'), ('v84', 'c50'), ('v57', 'c11'), ('v30', 'c57'), ('v75', 'c50'), ('v47', 'c92'), ('v67', 'c8'), ('v88', 'c11'), ('v93', 'c57'), ('v53', 'c11'), ('v22', 'c50'), ('v79', 'c11'), ('v1', 'c84'), ('v5', 'c84'), ('v7', 'c17'), ('v62', 'c17'), ('v80', 'c11'), ('v99', 'c8'), ('v95', 'c84'), ('v54', 'c84'), ('v81', 'c84'), ('v40', 'c17'), ('v98', 'c8'), ('v33', 'c8'), ('v74', 'c8'), ('v34', 'c50'), ('v52', 'c11'), ('v87', 'c17'), ('v66', 'c17'), ('v61', 'c17'), ('v65', 'c17')]"
541,69,"[('v14', 'c8'), ('v4', 'c8'), ('v10', 'c86'), ('v13', 'c38'), ('v18', 'c75'), ('v21', 'c17'), ('v23', 'c75'), ('v24', 'c86'), ('v25', 'c38'), ('v35', 'c8'), ('v37', 'c38'), ('v48', 'c50'), ('v59', 'c50'), ('v69', 'c8'), ('v71', 'c75'), ('v38', 'c86'), ('v39', 'c86'), ('v94', 'c17'), ('v85', 'c8'), ('v46', 'c27'), ('v70', 'c75'), ('v50', 'c54'), ('v16', 'c86'), ('v26', 'c8'), ('v89', 'c65'), ('v42', 'c50'), ('v76', 'c38'), ('v78', 'c27'), ('v3', 'c38'), ('v19', 'c27'), ('v73', 'c86'), ('v84', 'c75'), ('v30', 'c8'), ('v8', 'c17'), ('v11', 'c17'), ('v20', 'c17'), ('v75', 'c65'), ('v47', 'c86'), ('v57', 'c65'), ('v67', 'c27'), ('v63', 'c38'), ('v93', 'c8'), ('v53', 'c75'), ('v81', 'c86'), ('v28', 'c42'), ('v64', 'c42'), ('v31', 'c42'), ('v44', 'c42'), ('v0', 'c17'), ('v1', 'c86'), ('v5', 'c38'), ('v7', 'c17'), ('v22', 'c75'), ('v62', 'c17'), ('v80', 'c75'), ('v99', 'c8'), ('v95', 'c38'), ('v54', 'c86'), ('v40', 'c42'), ('v98', 'c8'), ('v33', 'c8'), ('v74', 'c27'), ('v34', 'c75'), ('v52', 'c75'), ('v79', 'c75'), ('v87', 'c42'), ('v66', 'c54'), ('v61', 'c54'), ('v65', 'c42')]"
