time-step,uId,u.bid,u.price,u.latency,u.cpu,u.storage,u.ram,winner(1) or loser(0)
1,v0,785,0,30,32067,16535,32732,1
1,v1,797,0,30,32019,16308,32732,1
1,v2,396,0,30,7974,16389,16586,1
1,v3,791,0,30,15980,16458,65697,1
1,v4,97,0,30,3832,3051,4172,1
1,v5,781,0,30,31992,16632,32923,1
1,v6,792,0,30,16073,16250,65420,0
1,v7,804,0,30,31927,16449,32889,1
1,v8,810,0,30,15985,16271,65536,1
1,v9,395,0,30,7840,16443,16367,1
1,v10,106,0,30,3994,3229,4216,1
1,v11,795,0,30,15932,16462,65499,1
1,v12,395,0,30,8015,16054,16442,1
1,v13,101,0,30,4212,2916,4277,1
1,v14,102,0,30,4012,3160,4157,1
1,v15,395,0,30,8124,16375,16216,1
1,v16,390,0,30,7994,16342,16397,1
1,v17,409,0,30,7878,16345,16370,1
1,v18,102,0,30,3784,3058,3825,1
1,v19,799,0,30,15954,16274,65451,1
1,v20,799,0,30,15835,16531,65486,1
1,v21,105,0,30,4009,3054,4241,1
1,v22,808,0,30,31919,16404,32781,1
1,v23,94,0,30,4093,3233,4118,1
1,v24,112,0,30,4088,3163,4106,1
1,v25,99,0,30,4064,3173,4059,1
1,v27,404,0,30,7978,16346,16555,0
1,v43,395,0,30,8091,16232,16291,1
1,v62,797,0,30,31862,16321,32777,1
1,v80,808,0,30,32158,16442,32994,1
61,v0,785,540.8991673155316,30,32067,16535,32732,1
61,v1,797,552.6220330541091,0.6667516853141328,32019,16308,32732,1
61,v2,396,0,0.8362257953597925,7974,16389,16586,1
61,v3,791,0,0.6667516853141328,15980,16458,65697,0
61,v4,97,0,0.17147986841981241,3832,3051,4172,1
61,v5,781,552.1560349001236,0.6667516853141328,31992,16632,32923,1
61,v6,792,0,30,16073,16250,65420,1
61,v7,804,538.5376778271424,30,31927,16449,32889,1
61,v8,810,795.4490908258141,30,15985,16271,65536,1
61,v9,395,0,0.6667516853141328,7840,16443,16367,0
61,v10,106,78.66017052375153,0.6667516853141328,3994,3229,4216,1
61,v11,795,795.0,30,15932,16462,65499,1
61,v12,395,0,0.7956395125655197,8015,16054,16442,1
61,v13,101,71.0353227771011,0.6667516853141328,4212,2916,4277,1
61,v14,102,0,0.17147986841981241,4012,3160,4157,1
61,v15,395,0,0.7956395125655197,8124,16375,16216,1
61,v16,390,0,0.6667516853141328,7994,16342,16397,0
61,v17,409,0,0.8362257953597925,7878,16345,16370,1
61,v18,102,0,0.8362257953597925,3784,3058,3825,1
61,v19,799,0,0.17147986841981241,15954,16274,65451,1
61,v20,799,794.8422113314707,30,15835,16531,65486,1
61,v21,105,0,30,4009,3054,4241,1
61,v22,808,0,0.8362257953597925,31919,16404,32781,1
61,v23,94,0,0.8362257953597925,4093,3233,4118,1
61,v24,112,77.05237515225336,0.6667516853141328,4088,3163,4106,1
61,v25,99,77.29598051157126,0.6667516853141328,4064,3173,4059,1
61,v27,404,0,30,7978,16346,16555,0
61,v43,395,0,0.6667516853141328,8091,16232,16291,0
61,v62,797,537.4412719932475,30,31862,16321,32777,1
61,v80,808,0,0.8362257953597925,32158,16442,32994,1
61,v35,102,0,30,3992,3085,4079,1
61,v99,793,0,30,32097,16325,32731,1
61,v95,803,550.8270772017206,30,31915,16366,32794,1
61,v54,797,552.7946249629925,30,32029,16325,32722,1
61,v82,400,398.2704019488429,30,7985,16349,16385,1
61,v73,792,0,30,15956,16149,65339,0
61,v92,796,0,30,16081,16391,65406,0
61,v75,809,751.0368507760339,30,16050,16416,65619,1
61,v89,396,0,30,7873,16359,16347,1
61,v47,815,815.0,30,16002,16336,65624,1
61,v36,800,0,30,15920,16422,65227,0
61,v37,92,77.51522533495736,30,4206,3182,4276,1
61,v84,796,752.5133096332263,30,15873,16251,65748,1
61,v91,400,400.0,30,7923,16420,16262,1
61,v81,792,551.8971470367984,30,31977,16423,32656,1
121,v0,785,540.8991673155316,0.9231122364948094,32067,16535,32732,1
121,v1,797,552.6220330541091,0.48223064366381907,32019,16308,32732,1
121,v2,396,0,0.8862821306761216,7974,16389,16586,0
121,v3,791,0,1.1855219737963703,15980,16458,65697,0
121,v4,97,0,1.1956639342860547,3832,3051,4172,1
121,v5,781,552.1560349001236,0.48223064366381907,31992,16632,32923,1
121,v6,792,0,0.9231122364948094,16073,16250,65420,0
121,v7,804,538.5376778271424,0.9231122364948094,31927,16449,32889,1
121,v8,810,795.4490908258141,0.9231122364948094,15985,16271,65536,1
121,v9,395,0,1.1855219737963703,7840,16443,16367,0
121,v10,106,0,0.48223064366381907,3994,3229,4216,1
121,v11,795,795.0,0.9231122364948094,15932,16462,65499,1
121,v12,395,395.0,1.1956639342860547,8015,16054,16442,1
121,v13,101,0,0.48223064366381907,4212,2916,4277,1
121,v14,102,0,1.1956639342860547,4012,3160,4157,1
121,v15,395,0,1.1956639342860547,8124,16375,16216,1
121,v16,390,0,1.1855219737963703,7994,16342,16397,0
121,v17,409,409.0,0.8862821306761216,7878,16345,16370,1
121,v18,102,0,0.8862821306761216,3784,3058,3825,1
121,v19,799,0,1.1956639342860547,15954,16274,65451,1
121,v20,799,794.8422113314707,1.6116377676356919,15835,16531,65486,1
121,v21,105,0,0.9231122364948094,4009,3054,4241,1
121,v22,808,544.7640091911084,0.8862821306761216,31919,16404,32781,1
121,v23,94,0,0.8862821306761216,4093,3233,4118,1
121,v24,112,0,0.48223064366381907,4088,3163,4106,1
121,v25,99,0,0.48223064366381907,4064,3173,4059,1
121,v27,404,0,30,7978,16346,16555,0
121,v43,395,0,1.1855219737963703,8091,16232,16291,0
121,v62,797,537.4412719932475,0.9231122364948094,31862,16321,32777,1
121,v80,808,548.8430404325844,0.8862821306761216,32158,16442,32994,1
121,v35,102,0,0.38727107102134406,3992,3085,4079,1
121,v99,793,549.6316194648724,0.38727107102134406,32097,16325,32731,1
121,v95,803,550.8270772017206,0.48223064366381907,31915,16366,32794,1
121,v54,797,552.7946249629925,0.48223064366381907,32029,16325,32722,1
121,v82,400,0,0.48223064366381907,7985,16349,16385,0
121,v73,792,0,30,15956,16149,65339,0
121,v92,796,0,30,16081,16391,65406,0
121,v75,809,805.8667114729559,0.8862821306761216,16050,16416,65619,1
121,v89,396,0,0.8862821306761216,7873,16359,16347,1
121,v47,815,815.0,0.48223064366381907,16002,16336,65624,1
121,v36,800,0,30,15920,16422,65227,0
121,v37,92,0,0.48223064366381907,4206,3182,4276,1
121,v84,796,0,0.8862821306761216,15873,16251,65748,1
121,v91,400,0,0.48223064366381907,7923,16420,16262,0
121,v81,792,551.8971470367984,0.48223064366381907,31977,16423,32656,1
121,v42,395,0,30,7950,16414,16503,0
121,v48,94,0,30,3908,3180,3889,1
121,v57,800,800.0,30,15931,16421,65473,1
121,v59,87,0,30,4058,3053,4156,1
121,v67,815,807.7820372398686,0.38727107102134406,15967,16421,65556,1
121,v69,99,0,0.38727107102134406,3985,3100,4003,1
121,v71,99,0,30,3964,3169,4069,1
121,v38,96,0,30,4050,3197,4075,1
121,v39,98,0,30,3940,2974,4149,1
121,v76,405,405.0,30,8042,16379,16474,1
121,v40,809,0,30,31904,16316,32686,1
121,v56,792,0,30,15982,16417,65578,0
121,v94,102,0,0.5018021121374504,4216,3134,4011,1
121,v30,796,0,0.38727107102134406,15978,16398,65595,1
121,v83,803,0,0.4589441422490759,15844,16372,65403,1
121,v98,803,545.7787012987013,0.38727107102134406,31872,16266,32811,1
121,v63,807,0,30,16082,16524,65660,0
121,v88,804,800.2810318757352,30,15809,16357,65496,1
121,v26,396,0,0.4655910923726452,8013,16443,16314,1
121,v33,791,546.9602628696605,0.38727107102134406,31941,16312,32698,1
121,v72,395,0,30,7954,16550,16304,0
121,v74,805,549.1178970427164,0.4655910923726452,32067,16591,32833,1
121,v93,810,810.0,0.4655910923726452,15937,16149,65736,1
121,v68,105,0,30,3785,3230,4076,1
121,v34,795,545.6344300836408,30,31970,16326,32511,1
121,v52,811,547.5971438609201,30,32085,16623,32596,1
121,v53,804,804.0,30,15950,16349,65467,1
121,v28,794,0,30,32038,16288,32576,1
121,v64,788,0,30,32033,16361,32851,1
121,v85,105,0,30,4015,3094,4243,1
181,v0,785,784.9999999999999,0.7391001099736841,32067,16535,32732,1
181,v1,797,0,0.9681097923978317,32019,16308,32732,1
181,v2,396,0,1.5600466734044733,7974,16389,16586,0
181,v3,791,0,1.8645571223157609,15980,16458,65697,1
181,v4,97,0,1.268303813868394,3832,3051,4172,1
181,v5,781,0,0.9681097923978317,31992,16632,32923,0
181,v6,792,0,1.3756804436432228,16073,16250,65420,0
181,v7,804,781.5728006985373,0.7391001099736841,31927,16449,32889,1
181,v8,810,0,0.7391001099736841,15985,16271,65536,0
181,v9,395,0,1.8645571223157609,7840,16443,16367,1
181,v10,106,0,0.9681097923978317,3994,3229,4216,1
181,v11,795,0,0.7391001099736841,15932,16462,65499,0
181,v12,395,395.0,1.268303813868394,8015,16054,16442,1
181,v13,101,0,0.9681097923978317,4212,2916,4277,1
181,v14,102,0,0.9092618315797624,4012,3160,4157,1
181,v15,395,0,0.9092618315797624,8124,16375,16216,1
181,v16,390,0,1.8645571223157609,7994,16342,16397,1
181,v17,409,409.0,1.0025862740203992,7878,16345,16370,1
181,v18,102,0,1.0025862740203992,3784,3058,3825,1
181,v19,799,0,0.9092618315797624,15954,16274,65451,1
181,v20,799,0,0.7391001099736841,15835,16531,65486,0
181,v21,105,0,0.7391001099736841,4009,3054,4241,0
181,v22,808,546.882104895577,1.0025862740203992,31919,16404,32781,1
181,v23,94,0,1.0025862740203992,4093,3233,4118,1
181,v24,112,0,0.9681097923978317,4088,3163,4106,1
181,v25,99,0,0.9681097923978317,4064,3173,4059,1
181,v27,404,0,30,7978,16346,16555,0
181,v43,395,0,1.8645571223157609,8091,16232,16291,1
181,v62,797,779.9816010228583,0.7391001099736841,31862,16321,32777,1
181,v80,808,550.9769958091407,1.0025862740203992,32158,16442,32994,1
181,v35,102,0,1.268303813868394,3992,3085,4079,1
181,v99,793,547.6559870517079,1.268303813868394,32097,16325,32731,1
181,v95,803,518.9696429674198,0.9681097923978317,31915,16366,32794,1
181,v54,797,520.8233963529215,0.9681097923978317,32029,16325,32722,1
181,v82,400,0,1.5991822099455193,7985,16349,16385,0
181,v73,792,0,30,15956,16149,65339,0
181,v92,796,0,30,16081,16391,65406,0
181,v75,809,809.0,1.0025862740203992,16050,16416,65619,1
181,v89,396,0,0.867401606803031,7873,16359,16347,0
181,v47,815,806.5575388364302,0.9681097923978317,16002,16336,65624,1
181,v36,800,0,30,15920,16422,65227,1
181,v37,92,0,0.9681097923978317,4206,3182,4276,1
181,v84,796,0,0.867401606803031,15873,16251,65748,0
181,v91,400,0,1.5991822099455193,7923,16420,16262,1
181,v81,792,519.9778246332189,0.9681097923978317,31977,16423,32656,1
181,v42,395,0,30,7950,16414,16503,0
181,v48,94,0,1.0025862740203992,3908,3180,3889,1
181,v57,800,0,1.0025862740203992,15931,16421,65473,0
181,v59,87,0,1.0025862740203992,4058,3053,4156,1
181,v67,815,0,1.268303813868394,15967,16421,65556,1
181,v69,99,0,1.268303813868394,3985,3100,4003,1
181,v71,99,0,1.0025862740203992,3964,3169,4069,1
181,v38,96,0,0.9681097923978317,4050,3197,4075,1
181,v39,98,0,0.9681097923978317,3940,2974,4149,1
181,v76,405,404.59457790403263,0.9681097923978317,8042,16379,16474,1
181,v40,809,781.009760813297,0.386684559202144,31904,16316,32686,1
181,v56,792,0,30,15982,16417,65578,0
181,v94,102,0,0.7391001099736841,4216,3134,4011,0
181,v30,796,0,1.268303813868394,15978,16398,65595,0
181,v83,803,803.0,0.9092618315797624,15844,16372,65403,1
181,v98,803,543.8169180705996,1.268303813868394,31872,16266,32811,1
181,v63,807,807.0,30,16082,16524,65660,1
181,v88,804,0,1.0025862740203992,15809,16357,65496,0
181,v26,396,0,0.5882808504907816,8013,16443,16314,0
181,v33,791,544.9942325581395,1.268303813868394,31941,16312,32698,1
181,v72,395,0,30,7954,16550,16304,0
181,v74,805,547.1441111875603,0.5882808504907816,32067,16591,32833,1
181,v93,810,807.0884821797165,0.5882808504907816,15937,16149,65736,1
181,v68,105,0,0.386684559202144,3785,3230,4076,0
181,v34,795,547.7559100696009,0.22613232933060698,31970,16326,32511,1
181,v52,811,549.7262550698513,0.22613232933060698,32085,16623,32596,1
181,v53,804,0,0.22613232933060698,15950,16349,65467,0
181,v28,794,784.2900801446968,0.386684559202144,32038,16288,32576,1
181,v64,788,784.1676801696447,0.386684559202144,32033,16361,32851,1
181,v85,105,0,0.5882808504907816,4015,3094,4243,1
181,v79,805,547.4303748086901,30,31951,16360,32753,1
181,v51,400,400.0,30,8091,16193,16425,1
181,v45,787,783.2129603642372,30,31994,16381,32624,1
181,v77,404,0,30,7934,16459,16515,0
181,v46,105,0,30,3968,3048,4233,1
181,v78,402,0,30,7945,16239,16345,0
181,v86,802,0,30,15917,16402,65535,0
181,v41,101,0,30,4102,3071,4131,0
181,v32,400,0,30,7975,16376,16513,0
181,v49,398,0,30,7900,16285,16281,0
181,v97,385,0,30,7894,16525,16354,0
181,v90,401,0,30,7844,16458,16407,0
181,v96,788,0,30,16099,16561,65486,0
181,v29,400,0,30,7887,16334,16508,1
181,v55,92,0,30,3979,3063,4092,1
181,v70,102,0,30,4078,3199,4128,1
241,v0,785,540.8991673155316,0.8651539392106461,32067,16535,32732,1
241,v1,797,0,0.8503872061867758,32019,16308,32732,1
241,v2,396,0,1.8029316616423696,7974,16389,16586,1
241,v3,791,0,1.519047010350854,15980,16458,65697,1
241,v4,97,0,0.47348123402237724,3832,3051,4172,1
241,v5,781,0,2.1039652308168972,31992,16632,32923,0
241,v6,792,0,2.2492662261962906,16073,16250,65420,0
241,v7,804,538.5376778271424,0.8651539392106461,31927,16449,32889,1
241,v8,810,795.4490908258141,1.5536295491633816,15985,16271,65536,1
241,v9,395,0,1.519047010350854,7840,16443,16367,0
241,v10,106,0,0.8503872061867758,3994,3229,4216,1
241,v11,795,795.0,1.5536295491633816,15932,16462,65499,1
241,v12,395,0,0.47348123402237724,8015,16054,16442,0
241,v13,101,0,1.519047010350854,4212,2916,4277,1
241,v14,102,0,0.47348123402237724,4012,3160,4157,1
241,v15,395,0,0.8121046627449905,8124,16375,16216,0
241,v16,390,0,1.519047010350854,7994,16342,16397,0
241,v17,409,0,0.5549697907676475,7878,16345,16370,1
241,v18,102,0,0.5549697907676475,3784,3058,3825,1
241,v19,799,0,0.8121046627449905,15954,16274,65451,0
241,v20,799,794.8422113314707,1.5536295491633816,15835,16531,65486,1
241,v21,105,0,1.5536295491633816,4009,3054,4241,1
241,v22,808,0,0.5549697907676475,31919,16404,32781,1
241,v23,94,0,0.5549697907676475,4093,3233,4118,1
241,v24,112,0,1.519047010350854,4088,3163,4106,1
241,v25,99,0,1.519047010350854,4064,3173,4059,1
241,v27,404,0,30,7978,16346,16555,0
241,v43,395,0,1.519047010350854,8091,16232,16291,1
241,v62,797,537.4412719932475,0.6927194894752783,31862,16321,32777,1
241,v80,808,515.7874560699964,0.5549697907676475,32158,16442,32994,1
241,v35,102,0,0.47348123402237724,3992,3085,4079,1
241,v99,793,549.6316194648724,0.47348123402237724,32097,16325,32731,1
241,v95,803,518.9696429674198,1.1002801940018998,31915,16366,32794,1
241,v54,797,520.8233963529215,1.1002801940018998,32029,16325,32722,1
241,v82,400,0,2.983699851208438,7985,16349,16385,0
241,v73,792,0,30,15956,16149,65339,1
241,v92,796,0,30,16081,16391,65406,1
241,v75,809,805.8667114729559,0.43790098733130906,16050,16416,65619,1
241,v89,396,396.0,0.43790098733130906,7873,16359,16347,1
241,v47,815,806.5575388364302,0.48492606687063905,16002,16336,65624,1
241,v36,800,0,0.360994314680564,15920,16422,65227,1
241,v37,92,0,0.360994314680564,4206,3182,4276,1
241,v84,796,0,1.1354392306735495,15873,16251,65748,1
241,v91,400,0,0.48492606687063905,7923,16420,16262,1
241,v81,792,519.9778246332189,0.360994314680564,31977,16423,32656,1
241,v42,395,0,30,7950,16414,16503,1
241,v48,94,0,0.8109458565654035,3908,3180,3889,1
241,v57,800,0,1.0656242912121618,15931,16421,65473,1
241,v59,87,0,0.8109458565654035,4058,3053,4156,1
241,v67,815,807.7820372398686,0.47348123402237724,15967,16421,65556,1
241,v69,99,0,0.47348123402237724,3985,3100,4003,1
241,v71,99,0,0.5549697907676475,3964,3169,4069,0
241,v38,96,0,1.1002801940018998,4050,3197,4075,1
241,v39,98,0,1.1002801940018998,3940,2974,4149,1
241,v76,405,404.59457790403263,1.1002801940018998,8042,16379,16474,1
241,v40,809,790.6790686060305,0.43156996418302307,31904,16316,32686,1
241,v56,792,0,30,15982,16417,65578,0
241,v94,102,0,1.5536295491633816,4216,3134,4011,1
241,v30,796,0,1.7331288133524059,15978,16398,65595,0
241,v83,803,0,0.47348123402237724,15844,16372,65403,0
241,v98,803,545.7787012987013,0.47348123402237724,31872,16266,32811,1
241,v63,807,807.0,1.1002801940018998,16082,16524,65660,1
241,v88,804,0,0.7510561275895218,15809,16357,65496,1
241,v26,396,0,1.1041111733154225,8013,16443,16314,0
241,v33,791,546.9602628696605,0.47348123402237724,31941,16312,32698,1
241,v72,395,0,30,7954,16550,16304,0
241,v74,805,549.1178970427164,0.47348123402237724,32067,16591,32833,1
241,v93,810,810.0,0.8121046627449905,15937,16149,65736,1
241,v68,105,0,0.43156996418302307,3785,3230,4076,1
241,v34,795,512.77209312015,0.5549697907676475,31970,16326,32511,1
241,v52,811,514.6165970522368,0.5549697907676475,32085,16623,32596,1
241,v53,804,804.0,0.5549697907676475,15950,16349,65467,1
241,v28,794,794.0,0.9049674750788776,32038,16288,32576,1
241,v64,788,693.5113952644555,0.9049674750788776,32033,16361,32851,1
241,v85,105,0,0.47348123402237724,4015,3094,4243,1
241,v79,805,512.46734899224,0.5549697907676475,31951,16360,32753,1
241,v51,400,400.0,0.8503872061867758,8091,16193,16425,1
241,v45,787,692.667048983579,1.255830119553522,31994,16381,32624,1
241,v77,404,401.0243650504314,30,7934,16459,16515,1
241,v46,105,0,0.8121046627449905,3968,3048,4233,1
241,v78,402,402.0,30,7945,16239,16345,1
241,v86,802,0,30,15917,16402,65535,0
241,v41,101,76.88308747015977,30,4102,3071,4131,1
241,v32,400,0,30,7975,16376,16513,0
241,v49,398,0,30,7900,16285,16281,0
241,v97,385,0,30,7894,16525,16354,0
241,v90,401,398.396479002384,30,7844,16458,16407,1
241,v96,788,0,30,16099,16561,65486,0
241,v29,400,0,0.6257742190780293,7887,16334,16508,0
241,v55,92,0,0.6257742190780293,3979,3063,4092,1
241,v70,102,0,0.5549697907676475,4078,3199,4128,1
241,v60,98,0,30,3833,3136,4121,1
241,v87,804,790.8773331668644,30,31912,16521,32767,1
241,v31,800,794.3717460515638,30,32053,16478,32908,1
241,v58,409,409.0,30,8169,16337,16452,1
241,v50,95,0,30,4010,2989,4038,1
241,v66,802,0,30,31937,16438,32741,1
241,v61,821,0,30,31931,16251,32742,1
241,v65,806,0,30,32118,16294,32690,1
301,v0,785,540.8991673155316,0.7560491717671026,32067,16535,32732,1
301,v1,797,0,1.7671572814586956,32019,16308,32732,0
301,v2,396,0,0.4674581231277223,7974,16389,16586,0
301,v3,791,0,1.2907204617616568,15980,16458,65697,0
301,v4,97,0,0.6032878644619436,3832,3051,4172,1
301,v5,781,0,3.6521411748194357,31992,16632,32923,0
301,v6,792,0,3.2909346836635467,16073,16250,65420,0
301,v7,804,538.5376778271424,0.7560491717671026,31927,16449,32889,1
301,v8,810,795.4490908258141,1.3341810036171835,15985,16271,65536,1
301,v9,395,0,3.110599517219997,7840,16443,16367,0
301,v10,106,0,1.7671572814586956,3994,3229,4216,0
301,v11,795,795.0,1.3341810036171835,15932,16462,65499,1
301,v12,395,0,1.0453940497754932,8015,16054,16442,0
301,v13,101,0,1.7671572814586956,4212,2916,4277,1
301,v14,102,0,0.6032878644619436,4012,3160,4157,0
301,v15,395,0,1.2266667150422292,8124,16375,16216,0
301,v16,390,0,3.110599517219997,7994,16342,16397,0
301,v17,409,0,0.4674581231277223,7878,16345,16370,0
301,v18,102,0,0.8439415329569743,3784,3058,3825,0
301,v19,799,0,1.2266667150422292,15954,16274,65451,0
301,v20,799,794.8422113314707,1.3341810036171835,15835,16531,65486,1
301,v21,105,0,1.3341810036171835,4009,3054,4241,1
301,v22,808,0,1.2195892213853308,31919,16404,32781,0
301,v23,94,0,0.8439415329569743,4093,3233,4118,0
301,v24,112,0,1.7671572814586956,4088,3163,4106,1
301,v25,99,0,1.7671572814586956,4064,3173,4059,1
301,v27,404,0,30,7978,16346,16555,0
301,v43,395,0,1.2907204617616568,8091,16232,16291,0
301,v62,797,537.4412719932475,0.7560491717671026,31862,16321,32777,1
301,v80,808,519.6146429309193,1.2195892213853308,32158,16442,32994,1
301,v35,102,0,0.6032878644619436,3992,3085,4079,0
301,v99,793,549.6316194648724,0.6032878644619436,32097,16325,32731,1
301,v95,803,518.9696429674198,1.7671572814586956,31915,16366,32794,1
301,v54,797,520.8233963529215,1.7671572814586956,32029,16325,32722,1
301,v82,400,0,4.309875740929292,7985,16349,16385,0
301,v73,792,0,1.1474457120926727,15956,16149,65339,0
301,v92,796,0,1.1474457120926727,16081,16391,65406,0
301,v75,809,805.8667114729559,1.2195892213853308,16050,16416,65619,1
301,v89,396,0,1.2195892213853308,7873,16359,16347,0
301,v47,815,806.5575388364302,1.7671572814586956,16002,16336,65624,1
301,v36,800,0,1.2907204617616568,15920,16422,65227,0
301,v37,92,0,1.2907204617616568,4206,3182,4276,1
301,v84,796,0,0.8439415329569743,15873,16251,65748,0
301,v91,400,0,1.7671572814586956,7923,16420,16262,0
301,v81,792,519.9778246332189,1.2907204617616568,31977,16423,32656,1
301,v42,395,0,0.8439415329569743,7950,16414,16503,0
301,v48,94,77.48086037185563,1.2195892213853308,3908,3180,3889,1
301,v57,800,0,1.2195892213853308,15931,16421,65473,0
301,v59,87,74.3864989670677,1.2195892213853308,4058,3053,4156,1
301,v67,815,807.7820372398686,0.6032878644619436,15967,16421,65556,1
301,v69,99,0,0.6032878644619436,3985,3100,4003,1
301,v71,99,77.21284481711021,1.571997321729531,3964,3169,4069,1
301,v38,96,0,1.2907204617616568,4050,3197,4075,1
301,v39,98,0,1.7671572814586956,3940,2974,4149,1
301,v76,405,404.59457790403263,1.7671572814586956,8042,16379,16474,1
301,v40,809,794.0630816313784,1.2098571935351505,31904,16316,32686,1
301,v56,792,0,30,15982,16417,65578,0
