time-step,number of users,used cloudlets,used cpu avg,used cpu std,unused cpu,used storage avg,used storage std,unused storage,used ram avg,used ram std,unused ram
1,30,3,65.33333333333333,12.364824660660938,104.0,76117.33333333333,20348.73488833042,12059648,94208.0,20885.583927676045,208896
61,30,4,57.0,17.97220075561143,172.0,61184.0,31298.02856411247,16139264,78848.0,32170.553492285457,339968
121,30,7,46.285714285714285,22.814245460202432,376.0,41984.0,42640.71744236956,28378112,59099.42857142857,43340.090074588785,733184
181,30,7,46.285714285714285,18.37478307521546,376.0,41984.0,32423.33015416082,28378112,59099.42857142857,33337.740804667366,733184
241,30,7,46.285714285714285,22.814245460202432,376.0,41984.0,42640.71744236956,28378112,59099.42857142857,43340.090074588785,733184
301,28,6,47.333333333333336,21.71532996653644,316.0,43520.0,39596.50570441791,24314880,60757.333333333336,40438.9975917087,618496
361,28,5,56.8,22.68391500601252,216.0,52224.0,29833.392512418028,20218880,72908.8,34406.4,454656
421,23,3,68.0,27.9045993819418,96.0,68608.0,37043.71010936495,12082176,91477.33333333333,41815.77135749408,217088
481,21,4,57.0,34.219877264537345,172.0,55552.0,39249.901299238954,16161792,97280.0,51189.75897579515,266240
541,15,3,60.0,32.16623488483952,120.0,57685.333333333336,29350.69740606213,12114944,107861.33333333333,33499.39308239612,167936
601,15,4,49.0,33.74907406137241,204.0,47360.0,31079.496521018482,16194560,97280.0,34315.46077207765,266240
661,13,4,41.0,25.357444666211933,236.0,43264.0,28140.211228773675,16210944,89088.0,34070.12814768973,299008
721,9,2,60.0,12.0,80.0,60416.0,11264.0,8071168,102400.0,36864.0,122880
781,7,2,40.0,32.0,120.0,44032.0,27648.0,8103936,77824.0,61440.0,172032
841,6,1,72.0,0.0,28.000000000000004,71680.0,0.0,4024320,139264.0,0.0,24576
