time-step,number of users,number of winners,prices
1,31,29,1712.0
61,39,38,0.0
121,56,55,3911.0
181,65,49,8886.0
241,80,50,17449.0
301,91,54,15136.0
361,97,56,23787.0
421,97,76,22582.999999990105
481,97,64,22676.0
541,100,91,25223.0
601,100,50,24541.0
661,98,58,24018.0
721,83,60,22470.0
781,69,64,10459.0
841,59,33,12313.0
901,44,33,13307.0
961,44,34,10106.0
1021,44,38,13435.0
1081,42,33,13295.0
1141,36,18,9153.0
1201,30,28,3172.0
1261,26,26,0.0
1321,20,19,2434.0
1381,15,15,0.0
1441,14,14,0.0
1501,2,2,0.0
