time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
1,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c18,"(224000, 51958)","(147456, 39682)","(311296, 36832)","['v5', 'v13', 'v15', 'v17', 'v19', 'v22', 'v23', 'v24', 'v25']"
1,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c26,"(224000, 159991)","(147456, 98370)","(311296, 147784)","['v8', 'v21', 'v87']"
1,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c28,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c30,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c35,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c50,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c51,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c52,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c53,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c54,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c55,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c56,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c57,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c58,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c59,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c60,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c61,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c62,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c63,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c64,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c65,"(224000, 156331)","(147456, 78625)","(311296, 176360)","['v0', 'v2', 'v7', 'v12', 'v82']"
1,c66,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c67,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c68,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c69,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c70,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c71,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c72,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c73,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c74,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c75,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c76,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c77,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c78,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c79,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c80,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c81,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c82,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c83,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c84,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c85,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c86,"(224000, 87957)","(147456, 16291)","(311296, 297)","['v3', 'v6', 'v10', 'v11', 'v14', 'v16', 'v18', 'v85']"
1,c87,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c88,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c89,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c90,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c91,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c92,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c93,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c94,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c95,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c96,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c97,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c98,"(224000, 152239)","(147456, 108593)","(311296, 237754)","['v1', 'v4', 'v9', 'v20']"
1,c99,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c100,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c101,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c102,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c103,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c104,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c105,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c106,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c107,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c108,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c109,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c110,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c111,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c112,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c113,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c114,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c115,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c116,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c117,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c118,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c119,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c120,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c121,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c122,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c123,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c124,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c125,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c126,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c127,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c128,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c129,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c130,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c131,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
