time-step,number of users,avg latency (for the allocated)
1,1,0.0029871192929283256
61,1,0.0
121,1,0.011154424541804906
181,1,0.09853870325425775
241,1,0.12505649372847125
301,1,0.10704688908869557
361,1,0.0
421,1,0.29724752712129726
481,1,0.0
541,1,0.08241636815071378
601,1,0.04302482108463456
661,1,0.0605761673689389
721,1,0.0993472600955416
781,1,0.1221595143394403
841,1,0.0
901,1,0.05723670174441397
961,1,0.14170054492157427
1021,1,0.0
1081,1,0.12492922726452602
1141,1,0.12501509793321894
1201,1,0.0
1261,1,0.0
1321,1,0.0
1381,1,0.04878009777145353
1441,1,0.12349833116681201
1501,1,0.0
1561,1,0.0
1621,1,0.08241636815071378
1681,1,0.05858617748644115
1741,1,0.0
1801,1,0.0
1861,1,0.09015884979555153
1921,1,0.10115262155504245
1981,1,0.09660170134966044
2041,1,0.0
