time-step,number of users,exec time,pricing time,two-phases time
1,8,0.24561142921447754,1.0967254638671875e-05,[]
61,8,0.0516057014465332,3.0994415283203125e-06,[]
121,14,0.10917878150939941,5.4836273193359375e-06,[]
181,18,0.12244343757629395,4.0531158447265625e-06,[]
241,24,0.21886086463928223,2.6702880859375e-05,[]
301,25,0.17659997940063477,4.0531158447265625e-06,[]
361,25,0.17220711708068848,4.76837158203125e-06,[]
421,25,0.18273162841796875,3.337860107421875e-06,[]
481,25,0.17679309844970703,4.0531158447265625e-06,[]
541,25,0.17409586906433105,3.814697265625e-06,[]
601,25,0.17771601676940918,3.0994415283203125e-06,[]
661,21,0.1360459327697754,3.337860107421875e-06,[]
721,13,0.08697986602783203,3.0994415283203125e-06,[]
781,10,0.06535077095031738,2.86102294921875e-06,[]
