time-step,number of users,number of winners,social welfare
1,30,30,3612
61,30,30,3612
121,30,30,3612
181,30,30,3612
241,30,30,3612
301,30,30,3612
361,30,30,3612
421,30,30,3612
481,30,30,3612
541,30,30,3612
601,30,30,3612
661,30,30,3612
721,30,30,3612
781,30,30,3612
841,30,30,3612
901,30,30,3612
961,30,30,3612
1021,30,30,3612
1081,30,30,3612
1141,30,30,3612
1201,30,30,3612
1261,30,30,3612
1321,30,30,3612
1381,30,30,3612
1441,30,30,3612
1501,30,30,3612
1561,30,30,3612
1621,30,30,3612
1681,30,30,3612
1741,30,30,3612
1801,30,30,3612
1861,30,30,3612
1921,30,30,3612
1981,30,30,3612
2041,30,30,3612
2101,19,19,2131
2161,13,13,1478
2221,7,7,774
2281,7,7,774
2341,7,7,774
2401,7,7,774
2461,7,7,774
2521,7,7,774
2581,7,7,774
