time-step,number of winners,result list
1,32,"[('v17', 'gp2', 'c10'), ('v5', 'ramIntensive', 'c50'), ('v76', 'gp2', 'c50'), ('v27', 'gp2', 'c0'), ('v3', 'ramIntensive', 'c10'), ('v20', 'ramIntensive', 'c0'), ('v19', 'ramIntensive', 'c50'), ('v95', 'ramIntensive', 'c0'), ('v2', 'gp2', 'c10'), ('v4', 'gp2', 'c45'), ('v1', 'ramIntensive', 'c45'), ('v9', 'gp2', 'c45'), ('v43', 'gp2', 'c45'), ('v16', 'gp2', 'c45'), ('v15', 'gp2', 'c50'), ('v12', 'gp2', 'c45'), ('v24', 'gp1', 'c45'), ('v18', 'gp1', 'c10'), ('v21', 'gp1', 'c0'), ('v6', 'gp1', 'c50'), ('v35', 'gp1', 'c50'), ('v14', 'gp1', 'c50'), ('v8', 'cpuIntensive', 'c45'), ('v11', 'cpuIntensive', 'c50'), ('v22', 'cpuIntensive', 'c10'), ('v62', 'cpuIntensive', 'c0'), ('v25', 'gp1', 'c45'), ('v7', 'cpuIntensive', 'c45'), ('v13', 'gp1', 'c45'), ('v0', 'gp1', 'c45'), ('v23', 'gp1', 'c10'), ('v10', 'gp1', 'c10')]"
61,49,"[('v17', 'gp2', 'c9'), ('v5', 'ramIntensive', 'c5'), ('v76', 'gp2', 'c5'), ('v27', 'gp2', 'c48'), ('v3', 'ramIntensive', 'c9'), ('v83', 'gp2', 'c5'), ('v20', 'ramIntensive', 'c48'), ('v19', 'ramIntensive', 'c5'), ('v30', 'ramIntensive', 'c5'), ('v95', 'ramIntensive', 'c48'), ('v2', 'gp2', 'c9'), ('v4', 'gp2', 'c21'), ('v72', 'gp2', 'c5'), ('v1', 'ramIntensive', 'c21'), ('v78', 'gp2', 'c9'), ('v9', 'gp2', 'c21'), ('v90', 'ramIntensive', 'c21'), ('v26', 'gp2', 'c5'), ('v98', 'ramIntensive', 'c9'), ('v43', 'gp2', 'c21'), ('v16', 'gp2', 'c21'), ('v15', 'gp2', 'c5'), ('v92', 'ramIntensive', 'c25'), ('v85', 'gp2', 'c21'), ('v12', 'gp2', 'c21'), ('v24', 'gp1', 'c21'), ('v18', 'gp1', 'c9'), ('v46', 'gp1', 'c5'), ('v21', 'gp1', 'c48'), ('v6', 'gp1', 'c5'), ('v35', 'gp1', 'c5'), ('v14', 'gp1', 'c5'), ('v40', 'cpuIntensive', 'c48'), ('v8', 'cpuIntensive', 'c34'), ('v11', 'cpuIntensive', 'c30'), ('v22', 'cpuIntensive', 'c9'), ('v62', 'cpuIntensive', 'c48'), ('v44', 'cpuIntensive', 'c48'), ('v73', 'cpuIntensive', 'c34'), ('v69', 'gp1', 'c5'), ('v89', 'cpuIntensive', 'c34'), ('v33', 'cpuIntensive', 'c30'), ('v54', 'cpuIntensive', 'c9'), ('v25', 'gp1', 'c21'), ('v7', 'cpuIntensive', 'c34'), ('v13', 'gp1', 'c21'), ('v0', 'gp1', 'c21'), ('v23', 'gp1', 'c9'), ('v10', 'gp1', 'c9')]"
121,56,"[('v17', 'gp2', 'c46'), ('v67', 'ramIntensive', 'c26'), ('v5', 'ramIntensive', 'c26'), ('v76', 'gp2', 'c26'), ('v27', 'gp2', 'c37'), ('v3', 'ramIntensive', 'c46'), ('v83', 'gp2', 'c26'), ('v20', 'ramIntensive', 'c37'), ('v49', 'gp2', 'c26'), ('v57', 'ramIntensive', 'c10'), ('v32', 'gp2', 'c26'), ('v99', 'ramIntensive', 'c3'), ('v19', 'ramIntensive', 'c26'), ('v82', 'gp2', 'c37'), ('v95', 'ramIntensive', 'c37'), ('v2', 'gp2', 'c46'), ('v4', 'gp2', 'c21'), ('v42', 'gp2', 'c10'), ('v72', 'gp2', 'c26'), ('v74', 'gp2', 'c3'), ('v1', 'ramIntensive', 'c21'), ('v56', 'ramIntensive', 'c37'), ('v78', 'gp2', 'c46'), ('v9', 'gp2', 'c21'), ('v81', 'gp2', 'c26'), ('v51', 'gp2', 'c3'), ('v90', 'ramIntensive', 'c21'), ('v98', 'ramIntensive', 'c46'), ('v43', 'gp2', 'c21'), ('v16', 'gp2', 'c21'), ('v88', 'gp2', 'c3'), ('v85', 'gp2', 'c21'), ('v12', 'gp2', 'c21'), ('v68', 'gp1', 'c37'), ('v24', 'gp1', 'c21'), ('v18', 'gp1', 'c46'), ('v21', 'gp1', 'c37'), ('v84', 'cpuIntensive', 'c37'), ('v40', 'cpuIntensive', 'c37'), ('v8', 'cpuIntensive', 'c34'), ('v22', 'cpuIntensive', 'c46'), ('v93', 'cpuIntensive', 'c40'), ('v73', 'cpuIntensive', 'c34'), ('v75', 'gp1', 'c3'), ('v89', 'cpuIntensive', 'c34'), ('v28', 'cpuIntensive', 'c40'), ('v54', 'cpuIntensive', 'c46'), ('v64', 'cpuIntensive', 'c40'), ('v25', 'gp1', 'c21'), ('v7', 'cpuIntensive', 'c34'), ('v48', 'gp1', 'c10'), ('v13', 'gp1', 'c21'), ('v0', 'gp1', 'c21'), ('v23', 'gp1', 'c46'), ('v10', 'gp1', 'c46'), ('v59', 'gp1', 'c10')]"
181,84,"[('v17', 'gp2', 'c17'), ('v67', 'ramIntensive', 'c18'), ('v5', 'ramIntensive', 'c18'), ('v76', 'gp2', 'c18'), ('v47', 'ramIntensive', 'c50'), ('v29', 'gp2', 'c12'), ('v27', 'gp2', 'c12'), ('v3', 'ramIntensive', 'c17'), ('v83', 'gp2', 'c18'), ('v20', 'ramIntensive', 'c12'), ('v53', 'ramIntensive', 'c10'), ('v49', 'gp2', 'c18'), ('v97', 'ramIntensive', 'c12'), ('v87', 'gp2', 'c12'), ('v36', 'ramIntensive', 'c30'), ('v57', 'ramIntensive', 'c10'), ('v32', 'gp2', 'c18'), ('v99', 'ramIntensive', 'c50'), ('v19', 'ramIntensive', 'c18'), ('v82', 'gp2', 'c12'), ('v58', 'gp2', 'c12'), ('v30', 'ramIntensive', 'c1'), ('v95', 'ramIntensive', 'c12'), ('v2', 'gp2', 'c17'), ('v4', 'gp2', 'c3'), ('v42', 'gp2', 'c10'), ('v72', 'gp2', 'c18'), ('v74', 'gp2', 'c50'), ('v1', 'ramIntensive', 'c3'), ('v56', 'ramIntensive', 'c39'), ('v78', 'gp2', 'c17'), ('v9', 'gp2', 'c3'), ('v81', 'gp2', 'c18'), ('v51', 'gp2', 'c50'), ('v90', 'ramIntensive', 'c3'), ('v26', 'gp2', 'c1'), ('v98', 'ramIntensive', 'c17'), ('v80', 'ramIntensive', 'c30'), ('v43', 'gp2', 'c3'), ('v16', 'gp2', 'c3'), ('v88', 'gp2', 'c50'), ('v15', 'gp2', 'c1'), ('v92', 'ramIntensive', 'c1'), ('v85', 'gp2', 'c3'), ('v12', 'gp2', 'c3'), ('v68', 'gp1', 'c12'), ('v24', 'gp1', 'c3'), ('v18', 'gp1', 'c17'), ('v46', 'gp1', 'c1'), ('v21', 'gp1', 'c12'), ('v6', 'gp1', 'c1'), ('v52', 'cpuIntensive', 'c39'), ('v60', 'gp1', 'c12'), ('v35', 'gp1', 'c1'), ('v84', 'cpuIntensive', 'c39'), ('v14', 'gp1', 'c1'), ('v40', 'cpuIntensive', 'c39'), ('v11', 'cpuIntensive', 'c1'), ('v22', 'cpuIntensive', 'c17'), ('v93', 'cpuIntensive', 'c39'), ('v45', 'cpuIntensive', 'c30'), ('v62', 'cpuIntensive', 'c39'), ('v70', 'gp1', 'c17'), ('v31', 'cpuIntensive', 'c39'), ('v91', 'cpuIntensive', 'c10'), ('v34', 'cpuIntensive', 'c10'), ('v71', 'gp1', 'c30'), ('v69', 'gp1', 'c1'), ('v75', 'gp1', 'c50'), ('v33', 'cpuIntensive', 'c1'), ('v54', 'cpuIntensive', 'c17'), ('v41', 'gp1', 'c12'), ('v96', 'cpuIntensive', 'c5'), ('v25', 'gp1', 'c3'), ('v48', 'gp1', 'c10'), ('v13', 'gp1', 'c3'), ('v0', 'gp1', 'c3'), ('v77', 'gp1', 'c12'), ('v55', 'gp1', 'c39'), ('v23', 'gp1', 'c17'), ('v10', 'gp1', 'c17'), ('v79', 'gp1', 'c17'), ('v37', 'gp1', 'c30'), ('v59', 'gp1', 'c10')]"
241,60,"[('v17', 'gp2', 'c26'), ('v67', 'ramIntensive', 'c29'), ('v5', 'ramIntensive', 'c29'), ('v76', 'gp2', 'c29'), ('v47', 'ramIntensive', 'c5'), ('v29', 'gp2', 'c28'), ('v27', 'gp2', 'c28'), ('v3', 'ramIntensive', 'c26'), ('v83', 'gp2', 'c29'), ('v94', 'gp2', 'c28'), ('v20', 'ramIntensive', 'c28'), ('v53', 'ramIntensive', 'c26'), ('v49', 'gp2', 'c29'), ('v97', 'ramIntensive', 'c28'), ('v87', 'gp2', 'c28'), ('v36', 'ramIntensive', 'c5'), ('v57', 'ramIntensive', 'c26'), ('v63', 'ramIntensive', 'c5'), ('v32', 'gp2', 'c29'), ('v99', 'ramIntensive', 'c5'), ('v19', 'ramIntensive', 'c29'), ('v82', 'gp2', 'c28'), ('v58', 'gp2', 'c28'), ('v30', 'ramIntensive', 'c35'), ('v95', 'ramIntensive', 'c28'), ('v2', 'gp2', 'c26'), ('v4', 'gp2', 'c5'), ('v42', 'gp2', 'c26'), ('v72', 'gp2', 'c29'), ('v74', 'gp2', 'c5'), ('v1', 'ramIntensive', 'c25'), ('v78', 'gp2', 'c26'), ('v9', 'gp2', 'c5'), ('v81', 'gp2', 'c29'), ('v90', 'ramIntensive', 'c25'), ('v26', 'gp2', 'c35'), ('v43', 'gp2', 'c25'), ('v16', 'gp2', 'c25'), ('v15', 'gp2', 'c35'), ('v92', 'ramIntensive', 'c35'), ('v85', 'gp2', 'c25'), ('v12', 'gp2', 'c25'), ('v24', 'gp1', 'c25'), ('v18', 'gp1', 'c26'), ('v46', 'gp1', 'c35'), ('v38', 'gp1', 'c26'), ('v6', 'gp1', 'c35'), ('v35', 'gp1', 'c35'), ('v14', 'gp1', 'c35'), ('v8', 'cpuIntensive', 'c25'), ('v11', 'cpuIntensive', 'c35'), ('v22', 'cpuIntensive', 'c26'), ('v70', 'gp1', 'c26'), ('v73', 'cpuIntensive', 'c25'), ('v39', 'gp1', 'c26'), ('v69', 'gp1', 'c35'), ('v33', 'cpuIntensive', 'c35'), ('v25', 'gp1', 'c25'), ('v13', 'gp1', 'c25'), ('v0', 'gp1', 'c25')]"
301,70,"[('v17', 'gp2', 'c5'), ('v67', 'ramIntensive', 'c43'), ('v5', 'ramIntensive', 'c43'), ('v76', 'gp2', 'c43'), ('v47', 'ramIntensive', 'c25'), ('v29', 'gp2', 'c28'), ('v27', 'gp2', 'c28'), ('v3', 'ramIntensive', 'c5'), ('v83', 'gp2', 'c43'), ('v94', 'gp2', 'c28'), ('v20', 'ramIntensive', 'c28'), ('v53', 'ramIntensive', 'c5'), ('v49', 'gp2', 'c43'), ('v97', 'ramIntensive', 'c28'), ('v87', 'gp2', 'c28'), ('v36', 'ramIntensive', 'c25'), ('v57', 'ramIntensive', 'c5'), ('v63', 'ramIntensive', 'c25'), ('v32', 'gp2', 'c43'), ('v99', 'ramIntensive', 'c16'), ('v19', 'ramIntensive', 'c43'), ('v82', 'gp2', 'c28'), ('v58', 'gp2', 'c28'), ('v95', 'ramIntensive', 'c28'), ('v2', 'gp2', 'c5'), ('v4', 'gp2', 'c16'), ('v42', 'gp2', 'c5'), ('v72', 'gp2', 'c43'), ('v74', 'gp2', 'c16'), ('v1', 'ramIntensive', 'c16'), ('v56', 'ramIntensive', 'c50'), ('v78', 'gp2', 'c5'), ('v9', 'gp2', 'c16'), ('v51', 'gp2', 'c16'), ('v90', 'ramIntensive', 'c16'), ('v26', 'gp2', 'c43'), ('v98', 'ramIntensive', 'c30'), ('v80', 'ramIntensive', 'c25'), ('v43', 'gp2', 'c16'), ('v16', 'gp2', 'c16'), ('v88', 'gp2', 'c25'), ('v85', 'gp2', 'c25'), ('v12', 'gp2', 'c25'), ('v68', 'gp1', 'c50'), ('v24', 'gp1', 'c26'), ('v18', 'gp1', 'c5'), ('v21', 'gp1', 'c50'), ('v38', 'gp1', 'c38'), ('v52', 'cpuIntensive', 'c50'), ('v61', 'cpuIntensive', 'c50'), ('v60', 'gp1', 'c50'), ('v84', 'cpuIntensive', 'c50'), ('v86', 'gp1', 'c50'), ('v40', 'cpuIntensive', 'c50'), ('v8', 'cpuIntensive', 'c26'), ('v22', 'cpuIntensive', 'c5'), ('v93', 'cpuIntensive', 'c50'), ('v66', 'cpuIntensive', 'c50'), ('v70', 'gp1', 'c5'), ('v73', 'cpuIntensive', 'c26'), ('v39', 'gp1', 'c38'), ('v54', 'cpuIntensive', 'c30'), ('v25', 'gp1', 'c26'), ('v7', 'cpuIntensive', 'c26'), ('v48', 'gp1', 'c5'), ('v13', 'gp1', 'c26'), ('v0', 'gp1', 'c26'), ('v23', 'gp1', 'c5'), ('v10', 'gp1', 'c30'), ('v79', 'gp1', 'c30')]"
361,58,"[('v17', 'gp2', 'c30'), ('v5', 'ramIntensive', 'c11'), ('v76', 'gp2', 'c11'), ('v47', 'ramIntensive', 'c43'), ('v29', 'gp2', 'c50'), ('v27', 'gp2', 'c50'), ('v3', 'ramIntensive', 'c30'), ('v94', 'gp2', 'c50'), ('v20', 'ramIntensive', 'c50'), ('v53', 'ramIntensive', 'c30'), ('v97', 'ramIntensive', 'c50'), ('v87', 'gp2', 'c50'), ('v36', 'ramIntensive', 'c43'), ('v57', 'ramIntensive', 'c30'), ('v63', 'ramIntensive', 'c43'), ('v32', 'gp2', 'c11'), ('v99', 'ramIntensive', 'c43'), ('v19', 'ramIntensive', 'c11'), ('v82', 'gp2', 'c50'), ('v58', 'gp2', 'c50'), ('v95', 'ramIntensive', 'c50'), ('v2', 'gp2', 'c30'), ('v4', 'gp2', 'c38'), ('v42', 'gp2', 'c30'), ('v74', 'gp2', 'c43'), ('v1', 'ramIntensive', 'c38'), ('v78', 'gp2', 'c30'), ('v9', 'gp2', 'c38'), ('v51', 'gp2', 'c43'), ('v90', 'ramIntensive', 'c38'), ('v26', 'gp2', 'c11'), ('v98', 'ramIntensive', 'c3'), ('v43', 'gp2', 'c38'), ('v16', 'gp2', 'c38'), ('v88', 'gp2', 'c43'), ('v15', 'gp2', 'c11'), ('v92', 'ramIntensive', 'c11'), ('v85', 'gp2', 'c38'), ('v12', 'gp2', 'c38'), ('v24', 'gp1', 'c38'), ('v18', 'gp1', 'c30'), ('v6', 'gp1', 'c11'), ('v14', 'gp1', 'c11'), ('v11', 'cpuIntensive', 'c11'), ('v22', 'cpuIntensive', 'c30'), ('v70', 'gp1', 'c30'), ('v91', 'cpuIntensive', 'c3'), ('v34', 'cpuIntensive', 'c3'), ('v69', 'gp1', 'c11'), ('v54', 'cpuIntensive', 'c3'), ('v25', 'gp1', 'c38'), ('v48', 'gp1', 'c30'), ('v13', 'gp1', 'c38'), ('v0', 'gp1', 'c38'), ('v23', 'gp1', 'c30'), ('v10', 'gp1', 'c3'), ('v79', 'gp1', 'c3'), ('v59', 'gp1', 'c3')]"
421,61,"[('v17', 'gp2', 'c32'), ('v47', 'ramIntensive', 'c36'), ('v29', 'gp2', 'c14'), ('v27', 'gp2', 'c14'), ('v3', 'ramIntensive', 'c32'), ('v94', 'gp2', 'c14'), ('v20', 'ramIntensive', 'c14'), ('v53', 'ramIntensive', 'c28'), ('v97', 'ramIntensive', 'c14'), ('v87', 'gp2', 'c14'), ('v36', 'ramIntensive', 'c36'), ('v57', 'ramIntensive', 'c28'), ('v63', 'ramIntensive', 'c36'), ('v99', 'ramIntensive', 'c36'), ('v82', 'gp2', 'c14'), ('v58', 'gp2', 'c14'), ('v95', 'ramIntensive', 'c14'), ('v2', 'gp2', 'c32'), ('v4', 'gp2', 'c24'), ('v42', 'gp2', 'c28'), ('v74', 'gp2', 'c36'), ('v1', 'ramIntensive', 'c24'), ('v56', 'ramIntensive', 'c50'), ('v78', 'gp2', 'c32'), ('v9', 'gp2', 'c24'), ('v51', 'gp2', 'c36'), ('v90', 'ramIntensive', 'c24'), ('v98', 'ramIntensive', 'c32'), ('v43', 'gp2', 'c24'), ('v16', 'gp2', 'c24'), ('v88', 'gp2', 'c36'), ('v85', 'gp2', 'c24'), ('v12', 'gp2', 'c24'), ('v68', 'gp1', 'c50'), ('v24', 'gp1', 'c24'), ('v18', 'gp1', 'c32'), ('v21', 'gp1', 'c50'), ('v52', 'cpuIntensive', 'c50'), ('v61', 'cpuIntensive', 'c50'), ('v60', 'gp1', 'c50'), ('v84', 'cpuIntensive', 'c50'), ('v86', 'gp1', 'c50'), ('v40', 'cpuIntensive', 'c50'), ('v8', 'cpuIntensive', 'c43'), ('v22', 'cpuIntensive', 'c32'), ('v93', 'cpuIntensive', 'c50'), ('v66', 'cpuIntensive', 'c50'), ('v70', 'gp1', 'c28'), ('v91', 'cpuIntensive', 'c28'), ('v73', 'cpuIntensive', 'c43'), ('v34', 'cpuIntensive', 'c28'), ('v54', 'cpuIntensive', 'c32'), ('v25', 'gp1', 'c24'), ('v7', 'cpuIntensive', 'c43'), ('v48', 'gp1', 'c28'), ('v13', 'gp1', 'c24'), ('v0', 'gp1', 'c24'), ('v23', 'gp1', 'c32'), ('v10', 'gp1', 'c32'), ('v79', 'gp1', 'c28'), ('v59', 'gp1', 'c28')]"
481,71,"[('v17', 'gp2', 'c12'), ('v29', 'gp2', 'c14'), ('v27', 'gp2', 'c7'), ('v3', 'ramIntensive', 'c12'), ('v94', 'gp2', 'c7'), ('v20', 'ramIntensive', 'c7'), ('v53', 'ramIntensive', 'c12'), ('v97', 'ramIntensive', 'c14'), ('v87', 'gp2', 'c14'), ('v57', 'ramIntensive', 'c12'), ('v63', 'ramIntensive', 'c37'), ('v99', 'ramIntensive', 'c37'), ('v82', 'gp2', 'c14'), ('v58', 'gp2', 'c14'), ('v95', 'ramIntensive', 'c7'), ('v2', 'gp2', 'c12'), ('v4', 'gp2', 'c44'), ('v42', 'gp2', 'c12'), ('v74', 'gp2', 'c37'), ('v1', 'ramIntensive', 'c44'), ('v56', 'ramIntensive', 'c14'), ('v78', 'gp2', 'c12'), ('v9', 'gp2', 'c44'), ('v51', 'gp2', 'c37'), ('v98', 'ramIntensive', 'c39'), ('v80', 'ramIntensive', 'c37'), ('v16', 'gp2', 'c44'), ('v85', 'gp2', 'c23'), ('v12', 'gp2', 'c44'), ('v68', 'gp1', 'c14'), ('v24', 'gp1', 'c44'), ('v18', 'gp1', 'c12'), ('v21', 'gp1', 'c7'), ('v52', 'cpuIntensive', 'c14'), ('v61', 'cpuIntensive', 'c7'), ('v60', 'gp1', 'c14'), ('v84', 'cpuIntensive', 'c14'), ('v86', 'gp1', 'c14'), ('v40', 'cpuIntensive', 'c7'), ('v8', 'cpuIntensive', 'c44'), ('v22', 'cpuIntensive', 'c12'), ('v93', 'cpuIntensive', 'c22'), ('v45', 'cpuIntensive', 'c37'), ('v66', 'cpuIntensive', 'c22'), ('v65', 'cpuIntensive', 'c7'), ('v62', 'cpuIntensive', 'c7'), ('v70', 'gp1', 'c12'), ('v31', 'cpuIntensive', 'c22'), ('v91', 'cpuIntensive', 'c39'), ('v73', 'cpuIntensive', 'c23'), ('v39', 'gp1', 'c37'), ('v34', 'cpuIntensive', 'c39'), ('v71', 'gp1', 'c37'), ('v75', 'gp1', 'c37'), ('v89', 'cpuIntensive', 'c37'), ('v28', 'cpuIntensive', 'c22'), ('v54', 'cpuIntensive', 'c39'), ('v41', 'gp1', 'c14'), ('v64', 'cpuIntensive', 'c22'), ('v25', 'gp1', 'c44'), ('v7', 'cpuIntensive', 'c44'), ('v48', 'gp1', 'c12'), ('v13', 'gp1', 'c44'), ('v50', 'gp1', 'c14'), ('v0', 'gp1', 'c44'), ('v77', 'gp1', 'c22'), ('v55', 'gp1', 'c22'), ('v23', 'gp1', 'c12'), ('v10', 'gp1', 'c39'), ('v79', 'gp1', 'c39'), ('v59', 'gp1', 'c39')]"
541,34,"[('v17', 'gp2', 'c37'), ('v29', 'gp2', 'c41'), ('v27', 'gp2', 'c41'), ('v3', 'ramIntensive', 'c37'), ('v94', 'gp2', 'c41'), ('v20', 'ramIntensive', 'c41'), ('v53', 'ramIntensive', 'c37'), ('v97', 'ramIntensive', 'c41'), ('v87', 'gp2', 'c41'), ('v57', 'ramIntensive', 'c37'), ('v82', 'gp2', 'c41'), ('v58', 'gp2', 'c41'), ('v95', 'ramIntensive', 'c41'), ('v2', 'gp2', 'c37'), ('v4', 'gp2', 'c48'), ('v42', 'gp2', 'c37'), ('v1', 'ramIntensive', 'c48'), ('v78', 'gp2', 'c37'), ('v9', 'gp2', 'c48'), ('v16', 'gp2', 'c48'), ('v12', 'gp2', 'c48'), ('v24', 'gp1', 'c48'), ('v18', 'gp1', 'c37'), ('v8', 'cpuIntensive', 'c48'), ('v22', 'cpuIntensive', 'c37'), ('v70', 'gp1', 'c37'), ('v71', 'gp1', 'c8'), ('v75', 'gp1', 'c8'), ('v25', 'gp1', 'c48'), ('v7', 'cpuIntensive', 'c48'), ('v48', 'gp1', 'c37'), ('v13', 'gp1', 'c48'), ('v0', 'gp1', 'c48'), ('v23', 'gp1', 'c37')]"
